state,dma,turn00,turn96,turn92,turn88,turn90,turn94,turn98,senate,prezg,seng,hseg,issg,othg,govg,balg,pq,___istate,___istat1,___istat2,___istat3,___istat4,___istat5,___istat6,___istat7,___istat8,___istat9,___ista10,___ista11,___ista12,___ista13,___ista14,___ista15,___ista16,___ista17,___ista18,___ista19,___ista20,___ista21,___ista22,___ista23,___ista24,___ista25,___ista26,___ista27,___ista28,___ista29,___ista30,___ista31,___ista32,___ista33,___ista34,___ista35,sum_grp,fall_grp,yr_grp,bush,cheney,gore,lieb,n0901,cont0901,n1001,cont1001,n1016,cont1016,yr_att,yr_cont,yr_pro,sum_att,sum_cont,sum_pro,fall_att,fall_con,fall_pro,end_grp,end_att,end_cont,end_pro,lncpop00,bg
MA,ALBANY-SCHENECTADY-TROY,0.57852453,0.583638072,0.641745567,0.587462902,,0.468976825,,0.468976825,0.0006,8.40530014,1.008999944,0,0.0129,0,0,0.243833899,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600000024,0.600000024,6800.399902,0,0,0,0,12,0.083333336,0,0,0,0,0,2219.399902,4581,0,0,0.600000024,0,0,0.600000024,0.600000024,0,0,0.600000024,11.53950882,0
NY,ALBANY-SCHENECTADY-TROY,0.61070472,0.595133603,0.651259243,0.601597965,,0.502812684,0.462150365,0.462150365,0.0006,8.40530014,1.008999944,0,0.0129,0,0,0.237744465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600000024,0.600000024,6800.399902,0,0,0,0,50,0.059999999,22,0.045454547,18,0.055555556,0,2219.399902,4581,0,0,0.600000024,0,0,0.600000024,0.600000024,0,0,0.600000024,13.68144035,0
VT,ALBANY-SCHENECTADY-TROY,0.635588944,0.59168303,0.680087209,0.598564208,,0.484253883,0.479328752,0.479328752,0.0006,8.40530014,1.008999944,0,0.0129,0,0,0.231615633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.600000024,0.600000024,6800.399902,0,0,0,0,2,0,0,0,0,0,0,2219.399902,4581,0,0,0.600000024,0,0,0.600000024,0.600000024,0,0,0.600000024,10.23322296,0
CO,ALBUQUERQUE-SANTA FE,0.594149351,0.565826178,0.600336134,0.597919226,0.399519801,,0.447981209,0.447981209,9.375,1.090199947,7.120600224,0.0068,0,0,0,0.241135895,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26555,19177.5,28602.19922,3,3,1,3,5,0,4,0,4,0,6954,8216.599609,13431.59961,6950.299805,8216.599609,11388.09961,5416.799805,7149.899902,6610.799805,9375,4861.600098,2057.199951,2456.199951,10.87906551,0
AL,ATLANTA,0.476768047,0.431167126,0.541880488,0.500264764,0.381084979,,0.358534187,0.358534187,0.329899997,5.226900101,9.383999825,1E-04,0,0,0,0.24946028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4841.5,575.5999756,5523.5,0,0,1,0,0,0,0,0,0,0,481.2999878,796.4000244,4245.799805,481.2999878,796.4000244,3563.800049,43,240.8999939,291.7000122,329.8999939,43,240.8999939,46,10.21427536,0
GA,ATLANTA,0.482740819,0.458137661,0.501507342,0.42598635,0.226020232,,0.339433253,0.339433253,0.329899997,5.226900101,9.383999825,1E-04,0,0,0,0.249702126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4841.5,575.5999756,5523.5,0,0,1,0,167,0.065868266,98,0.071428575,56,0.071428575,481.2999878,796.4000244,4245.799805,481.2999878,796.4000244,3563.800049,43,240.8999939,291.7000122,329.8999939,43,240.8999939,46,15.0565815,0
NC,ATLANTA,0.540479839,0.563087344,0.676344991,0.666794419,0.646797597,,0.460713774,0.460713774,0.329899997,5.226900101,9.383999825,1E-04,0,0,0,0.248361379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4841.5,575.5999756,5523.5,0,0,1,0,1,0,0,0,0,0,481.2999878,796.4000244,4245.799805,481.2999878,796.4000244,3563.800049,43,240.8999939,291.7000122,329.8999939,43,240.8999939,46,8.871645927,0
TX,AUSTIN,0.548364758,0.491948515,0.600671709,0.601023674,0.415419668,0.425559998,,0.425559998,0,1.656999946,4.587500095,0,0,0,0,0.247660846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.5,2,1,0,0,44,0.06818182,23,0.043478262,2,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,13.7263689,0
MD,BALTIMORE,0.528687239,0.473868489,0.557958186,0.490706146,,0.386028111,0.411154509,0.411154509,0.002,2.541800022,0.677200019,0.177399993,0,0,0,0.249177039,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5,3487.800049,0,0,0,1,99,0.070707068,57,0.087719299,34,0.088235296,0.400000006,72.59999847,3414.800049,0.400000006,1.600000024,3.5,0.400000006,1.600000024,3.5,2,0.400000006,1.600000024,0,14.50610161,0
AL,BIRMINGHAM-ANNISTON-TUSCALOOSA,0.524376512,0.4999066,0.574286759,0.491283983,0.407866597,,0.419851899,0.419851899,0.031500001,0.0002,4.917900085,0.0048,8.526499748,0,0,0.249405786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.79999924,36.79999924,36.79999924,0,0,0,0,62,0,26,0,21,0,1.100000024,30.39999962,5.300000191,1.100000024,30.39999962,5.300000191,1.100000024,30.39999962,5.300000191,31.5,1.100000024,30.39999962,0,14.07890224,0
MA,BOSTON,0.617628217,0.583912909,0.637636423,0.613990724,,0.502871335,,0.502871335,1.210899949,0.570299983,1.79369998,0,0,3.332299948,0,0.236163601,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2903.800049,2638.5,20930.59961,2,2,4,4,150,0.086666666,86,0.116279073,51,0.137254909,1013.5,2855.699951,17061.40039,652,1256.199951,995.5999756,652,1256.199951,730.2999878,1210.900024,581,302,327.8999939,15.06663132,0
NH,BOSTON,0.629879832,0.568795204,0.645564497,0.564054966,0.351888239,,0.350895852,0.350895852,1.210899949,0.570299983,1.79369998,0,0,3.332299948,0,0.23313123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2903.800049,2638.5,20930.59961,2,2,4,4,39,0.179487184,30,0.13333334,17,0.176470593,1013.5,2855.699951,17061.40039,652,1256.199951,995.5999756,652,1256.199951,730.2999878,1210.900024,581,302,327.8999939,13.52950191,1
VT,BOSTON,0.645569265,0.587750912,0.689032614,0.622505486,,0.459308207,0.485917658,0.485917658,1.210899949,0.570299983,1.79369998,0,0,3.332299948,0,0.228809595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2903.800049,2638.5,20930.59961,2,2,4,4,0,0,0,0,0,0,1013.5,2855.699951,17061.40039,652,1256.199951,995.5999756,652,1256.199951,730.2999878,1210.900024,581,302,327.8999939,10.4130125,0
NY,BUFFALO,0.584044993,0.556613982,0.605986774,0.565269172,,0.430458784,0.400818706,0.400818706,0.078000002,7.72510004,1.695500016,0.004,0,0,0,0.242936432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,8387.900391,0,0,0,0,61,0.065573767,40,0.075000003,22,0.090909094,0,2473.600098,5914.299805,0,78,0,0,78,0,78,0,78,0,13.98018169,0
PA,BUFFALO,0.476263791,0.454636931,0.495339036,0.454419613,,0.347263157,0.284850299,0.284850299,0.078000002,7.72510004,1.695500016,0.004,0,0,0,0.249436587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78,78,8387.900391,0,0,0,0,2,0,2,0,1,0,0,2473.600098,5914.299805,0,78,0,0,78,0,78,0,78,0,10.78041363,1
KY,CHARLESTON-HUNTINGTON,0.482419103,0.453647077,0.534697175,0.513214886,0.339210957,,0.400013387,0.400013387,6.467700005,2.859999895,16.27070045,0.614400029,1.043200016,5.738200188,0,0.249690905,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15250.5,13544.7998,15250.5,1,1,2,0,22,0.13636364,10,0.300000012,10,0.300000012,3700,7449.100098,4101.399902,3700,7449.100098,4101.399902,3698,7449.100098,2397.699951,6467.700195,3078.699951,2050.699951,1338.300049,12.36830616,0
OH,CHARLESTON-HUNTINGTON,0.52069962,0.523194849,0.582194746,0.525493205,,0.403064996,0.386615604,0.386615604,6.467700005,2.859999895,16.27070045,0.614400029,1.043200016,5.738200188,0,0.249571532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15250.5,13544.7998,15250.5,1,1,2,0,13,0.07692308,1,0,0,0,3700,7449.100098,4101.399902,3700,7449.100098,4101.399902,3698,7449.100098,2397.699951,6467.700195,3078.699951,2050.699951,1338.300049,12.34658623,1
WV,CHARLESTON-HUNTINGTON,0.479905903,0.480169088,0.512113988,0.496941328,,0.299292773,,0.299292773,6.467700005,2.859999895,16.27070045,0.614400029,1.043200016,5.738200188,0,0.249596223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15250.5,13544.7998,15250.5,1,1,2,0,20,0.050000001,5,0,4,0,3700,7449.100098,4101.399902,3700,7449.100098,4101.399902,3698,7449.100098,2397.699951,6467.700195,3078.699951,2050.699951,1338.300049,13.11205482,1
NC,CHARLOTTE,0.508189917,0.462011844,0.531121671,0.467859447,0.419806361,,0.345983058,0.345983058,0.005,0,15.34119987,0.613900006,0,5.924099922,0,0.24993293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828.5,154.1999969,4157.700195,0,0,0,0,75,0.053333335,38,0.105263159,37,0.108108111,770.5,888.2000122,2499,1.700000048,3.299999952,823.5,1.700000048,3.299999952,149.1999969,5,1.700000048,3.299999952,0,14.22800446,0
SC,CHARLOTTE,0.445257097,0.387197524,0.432832032,0.366633385,0.253796935,,0.334641218,0.334641218,0.005,0,15.34119987,0.613900006,0,5.924099922,0,0.247003213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,828.5,154.1999969,4157.700195,0,0,0,0,8,0.125,5,0.200000003,1,1,770.5,888.2000122,2499,1.700000048,3.299999952,823.5,1.700000048,3.299999952,149.1999969,5,1.700000048,3.299999952,0,12.30196857,0
IL,CHICAGO,0.561540782,0.511059523,0.621602774,0.572637558,0.378569692,,0.398681492,0.398681492,3.508100033,0,7.410200119,0.034899998,0,0.879000008,0,0.246212736,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12386.40039,6319.299805,15050.09961,5,4,3,3,234,0.106837608,135,0.118518516,86,0.139534891,1703.599976,3416.699951,9929.799805,1703.599976,3382.699951,7300.100098,1336.599976,2184.5,2798.199951,3508.100098,1330.800049,1326.699951,850.5999756,15.51441193,0
IN,CHICAGO,0.515011072,0.492086202,0.555606425,0.543325603,0.310359478,0.314806163,0.323428541,0.323428541,3.508100033,0,7.410200119,0.034899998,0,0.879000008,0,0.249774665,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12386.40039,6319.299805,15050.09961,5,4,3,3,20,0.100000001,3,0,0,0,1703.599976,3416.699951,9929.799805,1703.599976,3382.699951,7300.100098,1336.599976,2184.5,2798.199951,3508.100098,1330.800049,1326.699951,850.5999756,13.2473774,0
IN,CINCINNATI,0.536395848,0.544210434,0.576810479,0.548595667,0.369076043,0.43600595,0.402737051,0.402737051,3.196099997,2.290999889,4.975399971,0.559800029,7.102799892,0,0,0.248675346,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22915,14456.40039,27301,0,1,3,3,5,0.200000003,5,0.200000003,5,0.200000003,5812.600098,9690.5,11797.90039,5531.100098,8475.599609,8908.299805,4094.199951,6518.100098,3844.100098,3196.100098,1529.099976,1242.199951,424.7999878,11.34224415,0
KY,CINCINNATI,0.508086503,0.482991427,0.516441941,0.476764441,0.298958778,,0.364588201,0.364588201,3.196099997,2.290999889,4.975399971,0.559800029,7.102799892,0,0,0.249934614,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22915,14456.40039,27301,0,1,3,3,10,0,1,0,1,0,5812.600098,9690.5,11797.90039,5531.100098,8475.599609,8908.299805,4094.199951,6518.100098,3844.100098,3196.100098,1529.099976,1242.199951,424.7999878,12.5980711,0
OH,CINCINNATI,0.589562654,0.569441497,0.618901908,0.56123966,,0.42412439,0.427989006,0.427989006,3.196099997,2.290999889,4.975399971,0.559800029,7.102799892,0,0,0.241978526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22915,14456.40039,27301,0,1,3,3,59,0.118644066,36,0.138888896,16,0.1875,5812.600098,9690.5,11797.90039,5531.100098,8475.599609,8908.299805,4094.199951,6518.100098,3844.100098,3196.100098,1529.099976,1242.199951,424.7999878,14.00248146,1
OH,CLEVELAND,0.563210726,0.54995513,0.617349863,0.564589798,,0.432385236,0.411292553,0.411292553,5.228600025,2.224600077,1.896900058,0.664600015,9.498600006,0,0,0.246004403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31523.5,21062.40039,37127.30078,1,2,1,4,148,0.067567565,86,0.069767445,54,0.055555556,10162.40039,11752,15207.2002,10162.40039,10397.2998,10958.09961,8766.900391,8059.700195,4230.100098,5228.600098,3100.699951,1575.400024,546.7999878,14.86831284,1
OH,COLUMBUS OHIO,0.547179282,0.541535616,0.608192503,0.542284131,,0.399609268,0.400638103,0.400638103,5.169099808,2.433000088,11.69589996,0.738200009,7.687699795,0,0,0.247774109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31271.69922,20089.40039,39537.80078,1,1,1,2,90,0.06666667,59,0.084745765,39,0.128205135,7899.799805,14048.5,17589.5,7830.200195,11086.09961,12355.40039,6194.399902,8454.700195,5440.299805,5169.100098,2223.600098,1589.400024,1356.099976,14.21432114,1
TX,DALLAS-FT WORTH,0.493721873,0.451370269,0.545520782,0.499972463,0.335657686,0.371139169,,0.371139169,0.004,1.650699973,7.038899899,0.0189,0,0,0,0.249960586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.300000191,9,9.300000191,0,0,1,0,178,0.050561797,84,0.011904762,42,0,2.299999952,2,5,2.299999952,2,5,2,2,5,4,2,2,0,15.11452007,0
IN,DAYTON,0.47151348,0.482765198,0.510687709,0.497701794,0.363845855,0.36212188,0.374939591,0.374939591,4.783899784,2.239000082,0,0.527199984,6.918799877,0,0,0.249188513,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23131.69922,17530,26766.80078,1,3,1,1,1,0,0,0,0,0,5524.600098,10089.2998,11152.90039,5524.600098,8931.400391,8675.700195,5524.600098,7618.700195,4386.700195,4783.899902,2801.199951,1356.900024,625.7999878,10.88446045,0
OH,DAYTON,0.566776693,0.541572571,0.576136768,0.492667317,,0.411266655,0.404627264,0.404627264,4.783899784,2.239000082,0,0.527199984,6.918799877,0,0,0.245540872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23131.69922,17530,26766.80078,1,3,1,1,49,0.081632651,13,0.15384616,11,0.181818187,5524.600098,10089.2998,11152.90039,5524.600098,8931.400391,8675.700195,5524.600098,7618.700195,4386.700195,4783.899902,2801.199951,1356.900024,625.7999878,13.74845028,1
CO,DENVER,0.589752078,0.554592609,0.642457187,0.625688016,0.406832725,,0.471951425,0.471951425,0.231099993,0,5.16050005,0.115000002,0,0,0.677699983,0.241944566,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.1000061,239.1000061,850.0999756,0,1,0,2,103,0.087378643,58,0.103448279,26,0.115384616,45.70000076,229.5,574.9000244,5.300000191,229.5,4.300000191,5.300000191,229.5,4.300000191,231.1000061,1.299999952,229.5,0.300000012,14.6350317,0
NE,DENVER,0.580961168,0.574802279,0.627699852,0.632787228,0.544828773,0.509895802,,0.509895802,0.231099993,0,5.16050005,0.115000002,0,0,0.677699983,0.243445292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.1000061,239.1000061,850.0999756,0,1,0,2,0,0,0,0,0,0,45.70000076,229.5,574.9000244,5.300000191,229.5,4.300000191,5.300000191,229.5,4.300000191,231.1000061,1.299999952,229.5,0.300000012,10.48659706,0
NV,DENVER,0.747321427,0.626593828,0.641263962,0.552182138,,0.600735962,0.609558165,0.609558165,0.231099993,0,5.16050005,0.115000002,0,0,0.677699983,0.188832119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.1000061,239.1000061,850.0999756,0,1,0,2,0,0,0,0,0,0,45.70000076,229.5,574.9000244,5.300000191,229.5,4.300000191,5.300000191,229.5,4.300000191,231.1000061,1.299999952,229.5,0.300000012,7.021083832,1
WY,DENVER,0.573464155,0.580349088,0.574512959,0.522629261,,0.554640234,,0.554640234,0.231099993,0,5.16050005,0.115000002,0,0,0.677699983,0.244603023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,239.1000061,239.1000061,850.0999756,0,1,0,2,8,0.125,0,0,0,0,45.70000076,229.5,574.9000244,5.300000191,229.5,4.300000191,5.300000191,229.5,4.300000191,231.1000061,1.299999952,229.5,0.300000012,11.13144493,0
IA,DES MOINES-AMES,0.632791638,0.598696053,0.660128653,0.612486959,0.494274378,,0.473195225,0.473195225,12.68179989,0,3.431499958,0,0,0,0,0.232366383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34893.89844,26477.09961,53261.19922,2,1,5,0,47,0.212765962,10,0.300000012,3,0.333333343,9628.400391,13677.7002,29955.09961,9266.400391,11913.09961,13714.40039,7898.899902,10557.90039,8020.299805,12681.7998,7209.5,1976.900024,3495.399902,13.51213551,1
MO,DES MOINES-AMES,0.637370229,0.547892988,0.641746521,0.610400438,,0.4910869,0.474755883,0.474755883,12.68179989,0,3.431499958,0,0,0,0,0.231129423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34893.89844,26477.09961,53261.19922,2,1,5,0,0,0,0,0,0,0,9628.400391,13677.7002,29955.09961,9266.400391,11913.09961,13714.40039,7898.899902,10557.90039,8020.299805,12681.7998,7209.5,1976.900024,3495.399902,7.969011784,1
MI,DETROIT,0.598029077,0.547567964,0.623779833,0.538405776,0.365038455,0.444584459,,0.444584459,11.59010029,16.51510048,10.12250042,0.313499987,8.873600006,0,5.96600008,0.240390301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37448.80078,27990.5,51012.10156,10,5,10,6,141,0.113475174,84,0.142857149,49,0.183673471,15795.7998,13216.59961,21999.69922,13695.7998,11767.90039,11985.09961,11422.09961,9493.400391,7075,11590.09961,6158.5,2120.899902,3310.699951,15.06725788,1
MI,FLINT-SAGINAW-BAY CITY,0.596713364,0.563980758,0.63809222,0.578460217,0.398739338,0.461985171,,0.461985171,9.376700401,9.693300247,11.77270031,0.197500005,4.829599857,0,5.219299793,0.240646526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35627.19922,24609.19922,50983.5,2,1,3,3,43,0.139534891,24,0.083333336,7,0.142857149,11560,13965.2998,25458.19922,9182.5,12154.7002,14290,6805.600098,10009.5,7794.100098,9376.700195,3771.899902,2340.600098,3264.199951,13.69000435,1
CA,FRESNO-VISALIA,0.4711622,0.469531387,0.517931163,0.476854533,,0.414635211,0.378912836,0.378912836,1.95480001,1.565899968,10.64080048,0.015900001,0,0,0,0.249168381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6213.200195,4631.200195,14730.90039,1,2,0,1,40,0.100000001,27,0.111111112,24,0.125,464.8999939,3903.5,10362.5,464.8999939,2368.899902,3379.399902,464.8999939,2368.899902,1797.400024,1954.800049,464.8999939,1027.199951,462.7000122,13.72612572,0
MI,GRAND RAPIDS-KALAMAZOO-BATTLE CREEK,0.597483635,0.563111484,0.638695419,0.570140183,0.384926617,0.426649004,,0.426649004,10.85499954,10.74569988,0.261999995,0.455900013,5.880400181,0,5.860300064,0.240496948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32858.30078,24349.69922,45402.69922,5,2,4,0,80,0.075000003,40,0.100000001,22,0.090909094,11228.5,12844.09961,21330.09961,9535.400391,11275.40039,12047.5,8327.200195,8732.900391,7289.600098,10855,5770.899902,1823,3261.100098,14.10933113,1
MI,GREEN BAY-APPLETON,0.544742584,0.542591035,0.602793694,0.578123987,0.343280166,0.3801516,,0.3801516,13.13059998,3.057100058,4.897099972,0,0,0,0,0.247998103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38405.30078,28266.80078,41077.80078,4,2,2,2,1,0,0,0,0,0,11303.7998,12551.40039,17222.59961,11303.7998,12551.40039,14550.09961,9883.200195,9844.299805,8539.299805,13130.59961,7159.5,2026.099976,3945,9.860266685,1
WI,GREEN BAY-APPLETON,0.646729171,0.576458514,0.701552033,0.623483598,,0.409676462,0.454716563,0.454716563,13.13059998,3.057100058,4.897099972,0,0,0,0,0.228470549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38405.30078,28266.80078,41077.80078,4,2,2,2,50,0.079999998,28,0.142857149,27,0.148148149,11303.7998,12551.40039,17222.59961,11303.7998,12551.40039,14550.09961,9883.200195,9844.299805,8539.299805,13130.59961,7159.5,2026.099976,3945,13.53342056,1
