country_,year,d_EBRD,l_d_ln_cumfdigdp,l2_change_predX2a,d_postcomseats,d_polcon3,wartorn,d_eu,d_ln_gdpcap
1.0,1994-01-01,6.439394,0.61518574,100.0,0.0,0.0,0,0.0,0.043888867
1.0,1995-01-01,7.575756,0.039740086,105.610825,0.0,0.0,0,0.0,0.047042966
1.0,1996-01-01,5.303032,0.16705418,98.88132,-0.19999999,0.0,0,0.0,0.048448563
1.0,1997-01-01,0.0,0.15257978,95.21962,0.59800005,0.0,0,0.0,-0.047715724
1.0,1998-01-01,5.303032,0.41796517,101.649704,0.0,0.017282695,0,0.0,0.060398877
1.0,1999-01-01,-2.651516,-0.09779787,106.31674,0.0,0.0,0,0.0,0.04960823
1.0,2000-01-01,4.545456,-0.11607218,103.946846,0.0,0.0,0,0.0,0.035503983
1.0,2001-01-01,3.78788,0.19506073,103.73576,-0.13800007,7.843971e-05,0,0.0,0.03708458
1.0,2002-01-01,0.0,0.19490027,106.36319,0.0,0.0660921,0,0.0,0.022558868
1.0,2003-01-01,0.0,0.030771732,103.692116,0.0,0.0,0,0.0,0.030094087
1.0,2004-01-01,0.0,-0.046519995,96.67978,0.0,0.0,0,0.0,0.031900167
2.0,1994-01-01,12.499999,-0.31015515,100.0,0.0,0.07198252,1,1.0,0.019878715
2.0,1995-01-01,9.09091,-0.0533458,101.79608,0.037,0.0,0,0.0,0.025050014
2.0,1996-01-01,6.060604,-0.17958558,100.35131,0.0,-0.11697416,0,0.0,0.022960812
2.0,1997-01-01,3.78788,0.016260505,100.02142,0.0,0.0,0,0.0,0.015656054
2.0,1998-01-01,1.136364,0.405465,99.44324,0.0,-0.009300068,0,0.0,0.02915597
2.0,1999-01-01,4.924244,0.8001194,99.57471,0.048,0.0,0,0.0,0.015874058
2.0,2000-01-01,3.7878761,0.31977034,100.23928,0.0,0.0,0,0.0,0.025515765
2.0,2001-01-01,2.651516,0.17645645,104.91693,0.0,0.08862664,0,0.0,0.039010286
2.0,2002-01-01,1.136364,0.028987646,100.982346,0.0,-0.034334928,0,0.0,0.054580986
2.0,2003-01-01,1.136364,0.07431197,100.451,0.0,-0.05429171,0,0.0,0.060731113
2.0,2004-01-01,1.136364,0.007925987,99.29568,0.0,-0.068902805,0,0.0,0.047256947
3.0,1996-01-01,3.78788,2.6878474,103.67754,0.0,0.0,0,1.0,0.0009251535
3.0,1997-01-01,9.848484,0.74936056,104.033966,0.0,0.0,0,0.0,0.015602559
3.0,1998-01-01,5.303032,0.5387285,94.043175,0.0,0.0,0,0.0,0.029900491
3.0,1999-01-01,3.7878761,0.2810936,89.277405,0.0,0.0,0,0.0,0.02287823
3.0,2000-01-01,1.136364,0.12123966,92.63047,0.0,0.0,0,0.0,0.03728506
3.0,2001-01-01,3.409092,-0.104385376,113.97016,0.0161,0.0,0,0.0,0.11954516
3.0,2002-01-01,-0.757576,-0.01969099,98.540276,0.0,0.0,0,0.0,0.047889292
3.0,2003-01-01,3.78788,0.21056461,94.456795,-0.0161,0.0,0,0.0,-0.13220394
3.0,2004-01-01,0.0,0.33926296,99.34796,0.0,0.0,0,0.0,0.039728403
4.0,1994-01-01,0.0,0.24116206,100.0,0.0,0.0,0,0.0,-0.060874104
4.0,1995-01-01,10.227274,0.13353139,98.783264,0.21200001,0.0,0,1.0,-0.049583316
4.0,1996-01-01,-6.439396,-0.06453854,99.31086,0.0,0.0,0,0.0,0.014110386
4.0,1997-01-01,-2.651514,0.33647224,98.843475,0.0,0.0,0,0.0,0.05313897
4.0,1998-01-01,-3.787879,0.78411895,100.756836,0.0,0.0,0,0.0,0.0425601
4.0,1999-01-01,1.136363,0.21440983,101.00375,0.0,0.0,0,0.0,0.018907785
4.0,2000-01-01,2.651516,0.6109092,98.6713,-0.15020001,0.0,0,0.0,0.031204998
4.0,2001-01-01,2.651514,0.2513144,85.870094,0.0,0.0,0,0.0,0.026635945
4.0,2002-01-01,3.78788,-0.093090534,98.91192,0.0,0.0,0,0.0,0.02943486
4.0,2003-01-01,1.1363621,0.0,98.08515,0.0,0.0,0,0.0,0.040905118
4.0,2004-01-01,0.0,-0.03306079,100.791824,0.0,0.0,0,-1.0,0.06441504
5.0,1994-01-01,8.712122,-0.029853106,100.0,0.0,0.0,0,0.0,0.0
5.0,1995-01-01,3.7878761,0.35364008,113.71647,0.0,0.032635987,0,1.0,0.0010526776
5.0,1996-01-01,0.0,-0.065957904,94.25816,0.0,0.0,0,0.0,0.190108
5.0,1997-01-01,12.5,0.405465,81.29861,0.0,-0.020106941,0,0.0,0.1263833
5.0,1998-01-01,0.0,0.52884424,111.20823,0.0,0.0,0,0.0,0.0835278
5.0,1999-01-01,2.272728,0.18677592,129.66888,0.0,0.0,0,0.0,0.03804189
5.0,2000-01-01,9.090912,0.36772466,114.27557,0.0,0.0,0,0.0,0.021412194
5.0,2001-01-01,1.1363678,-0.031252384,100.98549,0.0,0.0,0,0.0,0.021780372
5.0,2002-01-01,2.2727203,0.11954498,117.68628,0.0,0.03589028,0,0.0,0.017006934
5.0,2003-01-01,1.515152,0.15213656,110.55297,0.0,0.0,0,0.0,0.014500737
5.0,2004-01-01,2.6515198,0.062520504,92.64316,0.0,0.0,0,0.0,0.025814772
6.0,1994-01-01,14.015152,0.405465,100.0,0.0,0.0,1,0.0,0.013436794
6.0,1995-01-01,3.78788,0.058840513,120.48265,0.0,0.0,1,0.0,0.019627929
6.0,1996-01-01,7.575756,0.0,98.02769,-0.079,0.057269454,0,0.0,-0.05600822
6.0,1997-01-01,2.272728,0.5389966,87.90949,0.0,0.005521685,0,0.0,-0.030453086
6.0,1998-01-01,0.0,0.65058756,102.39018,0.0,-0.005521685,0,0.0,0.025865197
6.0,1999-01-01,2.272728,-0.13976192,114.26311,0.0,0.0,0,0.0,0.016915858
6.0,2000-01-01,4.92424,0.32930374,107.244736,0.0,0.0776549,0,0.0,0.042582273
6.0,2001-01-01,0.0,0.383646,106.046974,0.0,-0.37471914,0,0.0,0.03638214
6.0,2002-01-01,3.030304,0.08905172,115.50389,0.0,0.0,0,0.0,0.033418655
6.0,2003-01-01,1.1363678,0.35487962,106.42982,0.0,0.0,0,2.0,0.031715155
6.0,2004-01-01,2.272728,0.1781199,92.3948,0.0,0.31608272,0,0.0,0.0390172
7.0,1994-01-01,6.439392,0.0,100.0,0.0,0.05960107,0,0.0,0.009797946
7.0,1995-01-01,0.0,0.113328695,114.20761,0.0,0.0,0,1.0,0.0065818727
7.0,1996-01-01,3.4090958,0.23026109,98.06135,0.11,0.0,0,0.0,0.0033629537
7.0,1997-01-01,0.0,0.04167247,90.084785,0.0,0.00837785,0,0.0,0.0074129403
7.0,1998-01-01,1.1363602,0.15123105,102.62997,0.009999998,0.0,0,0.0,0.0023698807
7.0,1999-01-01,6.060608,0.351398,112.22404,0.0,-0.20857757,0,0.0,0.017366573
7.0,2000-01-01,1.1363602,0.22725034,106.45798,0.0,0.0,0,0.0,0.010404661
7.0,2001-01-01,1.515152,0.26864958,104.13186,0.0,0.041234583,0,0.0,0.007901043
7.0,2002-01-01,0.0,0.12913585,112.54724,0.085,0.0,0,0.0,0.0080907345
7.0,2003-01-01,0.0,0.16603684,105.80296,0.0,-0.033591926,0,0.0,0.008184791
7.0,2004-01-01,1.1363678,-0.04776454,93.76525,0.0,0.0,0,1.0,0.010097235
8.0,1994-01-01,11.363636,0.53727674,100.0,0.0,-0.4560616,0,0.0,0.036877245
8.0,1995-01-01,3.78788,0.26329064,111.97686,0.0,0.48088008,0,0.0,0.03255877
8.0,1996-01-01,2.272728,-0.08197355,97.72236,0.0,-0.0751155,0,2.0,0.031327188
8.0,1997-01-01,4.92424,0.0,90.08467,0.0,0.0,0,0.0,0.029969573
8.0,1998-01-01,0.0,0.2635231,103.33395,0.0,0.0,0,0.0,0.027602315
8.0,1999-01-01,9.090912,0.32649446,112.8177,0.0,0.0,0,0.0,0.025818646
8.0,2000-01-01,1.1363678,0.30082655,106.577545,0.0,0.03982401,0,0.0,0.03162247
8.0,2001-01-01,1.1363602,0.07734275,101.47153,0.0,0.0,0,0.0,0.030529737
8.0,2002-01-01,1.1363602,0.091137886,112.032425,0.0,3.296137e-05,0,0.0,0.035532117
8.0,2003-01-01,0.0,0.13961029,105.885086,0.0,0.0,0,0.0,0.04184228
8.0,2004-01-01,1.1363678,0.19237185,94.119026,0.0,-0.05196899,0,1.0,0.04451114
9.0,1996-01-01,3.78788,0.0,97.986694,0.0,0.0,1,0.0,0.07516503
9.0,1997-01-01,0.0,0.16251892,89.659775,0.0,0.0,1,0.0,0.038027048
9.0,1998-01-01,2.651516,0.40546513,102.68804,0.0,0.0,1,0.0,0.03218603
9.0,1999-01-01,3.7878761,0.80349517,112.621284,0.0,0.008509636,1,0.0,-0.015739202
9.0,2000-01-01,4.924244,0.099372625,106.42664,0.0,0.0,1,0.0,0.05317819
9.0,2001-01-01,-1.136364,0.5162163,103.06359,0.0,-0.013417393,0,0.0,0.024199247
9.0,2002-01-01,0.0,0.7326782,113.05724,0.0,0.0,0,0.0,0.041489005
9.0,2003-01-01,1.136364,0.007721901,105.83688,0.0,-0.009056956,0,0.0,0.03358698
9.0,2004-01-01,2.272728,-0.10536051,93.53026,0.0,0.0,0,1.0,0.018409729
10.0,1995-01-01,15.151515,0.36772478,99.50721,0.0,0.0,1,0.0,0.048318505
10.0,1996-01-01,16.287878,-0.21357411,100.44401,0.0,0.4297961,1,0.0,0.035391927
10.0,1997-01-01,4.924244,0.42121345,101.534805,0.0,0.0,1,0.0,-0.005236268
10.0,1998-01-01,0.0,0.4260844,100.043144,0.0,0.0,1,0.0,-0.008925557
10.0,1999-01-01,4.92424,0.3276875,100.092415,0.0,0.0,1,0.0,0.01103127
10.0,2000-01-01,3.78788,0.5166906,103.186646,0.0,-0.06773692,1,0.0,0.032918215
10.0,2001-01-01,0.0,0.26774788,119.05503,0.0,0.0,1,0.0,0.026114225
10.0,2002-01-01,0.0,0.16653776,100.7934,0.0,0.0,1,0.0,0.014473319
10.0,2003-01-01,0.0,0.2047944,102.645294,0.0,0.0,1,0.0,0.031037211
10.0,2004-01-01,1.515152,0.23419333,99.64897,0.0,0.0,1,0.0,0.03546083
11.0,1994-01-01,7.5757637,0.4153173,100.0,0.0,0.0,0,1.0,0.0035063028
11.0,1995-01-01,7.5757523,0.15694785,112.3668,0.0,-0.045389414,0,0.0,0.045988202
11.0,1996-01-01,1.1363678,0.38476825,98.3408,0.0,0.0,0,0.0,0.04411626
11.0,1997-01-01,7.196968,0.14487362,91.390594,0.0,0.0,0,0.0,0.08522844
11.0,1998-01-01,1.1363602,0.281909,102.221146,0.0,0.0,0,0.0,0.04731989
11.0,1999-01-01,3.78788,0.11253071,110.5352,0.0,0.03725785,0,0.0,0.005371332
11.0,2000-01-01,1.515152,0.09106827,105.78189,0.0,0.0,0,0.0,0.06317568
11.0,2001-01-01,0.0,0.012072563,104.547966,0.0,0.0,0,0.0,0.053107977
11.0,2002-01-01,0.0,0.075107336,111.128685,0.0,0.0,0,0.0,0.06063056
11.0,2003-01-01,0.0,0.052406073,105.27882,0.0,-0.10973689,0,0.0,0.04442644
11.0,2004-01-01,0.0,0.044757843,94.367226,0.0,0.0,0,1.0,0.054741025
12.0,1995-01-01,7.575756,0.97455966,101.988335,0.028499998,0.0,0,1.0,-0.012852788
12.0,1996-01-01,7.57576,0.70253694,98.75441,0.0,0.0,0,0.0,0.0019400716
12.0,1997-01-01,1.1363602,0.07210326,96.15207,0.0,0.0,0,0.0,0.00425303
12.0,1998-01-01,1.136364,0.3610134,101.43806,0.0,0.0,0,0.0,0.01721704
12.0,1999-01-01,6.060608,0.39122272,104.01861,0.0,0.0,0,0.0,0.023640215
12.0,2000-01-01,4.92424,0.37494946,100.075905,0.054800004,0.0,0,0.0,0.025399148
12.0,2001-01-01,-6.0606003,-0.055006504,85.28452,0.0,0.5367742,0,0.0,-0.03212756
12.0,2002-01-01,0.0,-0.11666775,103.04745,0.0,0.0,0,0.0,0.0044143796
12.0,2003-01-01,1.1363602,0.029656172,99.98561,0.0,0.0,0,0.0,0.016680837
12.0,2004-01-01,2.651516,-0.14285088,98.3633,0.0,0.0,0,-1.0,0.011703849
13.0,1995-01-01,12.878786,0.37680984,101.573425,0.05,0.0,0,1.0,0.0125468075
13.0,1996-01-01,6.060608,0.067441225,100.27105,-0.05,0.0,0,0.0,0.039249986
13.0,1997-01-01,5.303028,0.09333205,99.96849,0.0,0.0,0,0.0,0.039950013
13.0,1998-01-01,0.0,0.22116137,99.62841,0.0,0.0,0,0.0,0.014572024
13.0,1999-01-01,-1.515152,0.18759847,99.91538,0.039,0.0,0,0.0,0.016855031
13.0,2000-01-01,2.272728,0.4629891,100.640495,-0.039,0.0,0,0.0,0.011631072
13.0,2001-01-01,1.515152,0.14970422,105.78265,0.0,0.0,0,0.0,0.023258507
13.0,2002-01-01,0.0,0.055473328,101.10279,0.0,0.0,0,0.0,0.026548445
13.0,2003-01-01,1.136364,0.07314396,100.78736,0.0,0.0,0,0.0,0.050367296
13.0,2004-01-01,0.0,0.015552521,99.27407,0.0,0.0,0,-1.0,0.042468905
14.0,1994-01-01,15.151516,-0.21597505,100.0,0.0,0.2111958,0,0.0,0.025279403
14.0,1995-01-01,0.0,0.14131355,105.12125,0.05,0.0,0,0.0,0.014111042
14.0,1996-01-01,7.575756,0.1441338,99.306366,0.0,0.044534206,0,2.0,0.013158321
14.0,1997-01-01,1.136364,0.26391196,96.283485,0.0,0.0032323003,0,0.0,0.038520455
14.0,1998-01-01,-1.136364,0.19597363,100.79322,0.0,-0.03717172,0,0.0,0.041412115
14.0,1999-01-01,7.196972,0.11966443,104.129265,-0.05,0.0,0,0.0,0.036729813
14.0,2000-01-01,1.1363602,0.051293373,102.14429,0.0,0.0,0,0.0,0.04514754
14.0,2001-01-01,1.1363678,0.0723207,100.60544,0.0,0.0,0,0.0,0.01785016
14.0,2002-01-01,5.303032,0.04228258,105.09079,0.0,0.0,0,0.0,0.030788898
14.0,2003-01-01,4.166664,0.07068992,102.28121,0.0,-0.011582434,0,0.0,0.027598381
14.0,2004-01-01,0.0,-0.024025202,97.16724,0.0,0.0,0,1.0,0.037630558
15.0,1994-01-01,7.57576,-0.07878077,100.0,0.0,0.0,0,0.0,-0.047782287
15.0,1995-01-01,3.7878761,0.34347343,105.19563,0.0,0.0,0,0.0,-0.012689471
15.0,1996-01-01,3.78788,-0.24965477,100.41823,-0.43,0.0,0,2.0,0.010208949
15.0,1997-01-01,1.136364,0.39042735,98.68335,0.0,0.004767686,0,0.0,0.015986308
15.0,1998-01-01,0.0,0.17556477,98.99559,0.0,0.018271893,0,0.0,0.0012138188
15.0,1999-01-01,6.439392,0.29821944,100.00952,0.0,0.0,0,0.0,0.0045778602
15.0,2000-01-01,2.6515198,0.24921584,99.9006,0.0,0.0,0,0.0,0.009151161
15.0,2001-01-01,3.4090881,0.0709517,103.644844,-0.088,0.035400808,0,0.0,0.009709686
15.0,2002-01-01,3.78788,0.06624937,102.956535,0.0,0.0,0,0.0,-0.0022454858
15.0,2003-01-01,1.1363678,0.24177241,100.41957,0.0,0.0,0,0.0,0.013361096
15.0,2004-01-01,0.0,-0.037611246,97.98403,0.0,0.0,0,1.0,0.014134645
16.0,1994-01-01,7.575758,-0.06899285,100.0,0.0,0.0,0,0.0,-0.066086054
16.0,1995-01-01,16.287878,-0.15415072,100.002205,0.0,0.41660443,0,0.0,-0.036416233
16.0,1996-01-01,3.78788,0.7339692,98.41579,0.0,0.0,0,0.0,0.007076144
16.0,1997-01-01,0.0,0.051959753,96.15609,0.0,0.0,0,0.0,0.014019787
16.0,1998-01-01,1.136364,0.349051,101.87754,0.396,0.0,0,0.0,-0.0023542047
16.0,1999-01-01,3.7878761,0.36909747,103.97273,0.0,0.060491294,0,0.0,0.021627903
16.0,2000-01-01,1.515152,0.5683954,98.950424,0.0,0.0,0,0.0,0.058099627
16.0,2001-01-01,1.1363678,0.24664164,76.30742,0.307,0.0,0,0.0,0.0772441
16.0,2002-01-01,0.0,0.12564516,101.26126,0.0,-0.16831684,0,0.0,0.056860924
16.0,2003-01-01,-1.136364,0.07428002,98.168045,0.0,0.0,0,0.0,0.054620385
16.0,2004-01-01,1.515152,-0.0791111,99.512695,0.0,0.0,0,1.0,0.053748965
17.0,1994-01-01,3.7878761,0.40546513,100.0,0.0,0.084900945,0,1.0,0.010843277
17.0,1995-01-01,3.78788,0.1865859,111.96875,0.0,0.0,0,0.0,0.009121999
17.0,1996-01-01,2.272728,0.38395894,99.49926,0.0,0.16727273,0,0.0,0.008936718
17.0,1997-01-01,2.272728,0.23180151,94.164375,0.0,0.19522214,0,0.0,0.009879947
17.0,1998-01-01,2.272728,0.20692086,100.24679,0.0,-0.17844865,0,0.0,0.0034666955
17.0,1999-01-01,3.78788,0.30390477,105.873886,0.0,-0.13020366,0,0.0,0.011064649
17.0,2000-01-01,1.515152,0.16492987,103.70371,0.0,0.0,0,0.0,0.007990569
17.0,2001-01-01,1.1363678,0.24740815,108.47207,0.0,0.0,0,0.0,0.008174092
17.0,2002-01-01,0.0,0.070513725,108.91397,0.0,0.16198638,0,0.0,0.008539468
17.0,2003-01-01,0.0,0.123910904,103.7688,0.0,0.0,0,0.0,0.007543981
17.0,2004-01-01,0.0,0.040521145,95.09918,0.0,0.0,0,1.0,0.0093899965
18.0,1994-01-01,12.5,0.11778304,100.0,0.0,0.0,0,0.0,0.025465727
18.0,1995-01-01,5.303028,0.24512243,107.400444,0.0,0.0,0,1.0,0.0024846792
18.0,1996-01-01,3.78788,0.3610133,99.0728,0.0,0.0,0,0.0,0.033120513
18.0,1997-01-01,4.924244,0.2170645,95.02658,-0.038,-0.26669815,0,0.0,0.06946337
18.0,1998-01-01,-1.515152,0.6302333,101.41805,0.0,0.0,0,0.0,0.046213865
18.0,1999-01-01,9.090912,0.40112686,106.635925,0.0,0.0,0,0.0,0.030419111
18.0,2000-01-01,1.1363602,0.35493422,104.91722,0.0,0.0,0,0.0,0.056278825
18.0,2001-01-01,1.136364,0.12048936,109.73856,0.0,0.19038853,0,0.0,0.06376612
18.0,2002-01-01,0.0,0.07796168,107.20062,0.0,-0.10356048,0,0.0,0.05611992
18.0,2003-01-01,0.0,-0.10536051,104.37329,0.0,0.0,0,0.0,0.06322217
18.0,2004-01-01,2.651516,0.2666285,96.231125,0.0,0.0,0,0.0,0.07275355
19.0,1994-01-01,6.439392,0.044451714,100.0,-0.095,0.095449015,1,1.0,-0.06910598
19.0,1995-01-01,6.060608,-0.24512243,116.0359,0.35099998,-0.0058564544,1,0.0,0.028226376
19.0,1996-01-01,7.575756,0.0,107.14792,0.0,0.10142529,1,0.0,0.03848982
19.0,1997-01-01,3.409092,-0.05715841,108.89678,0.0,0.0,0,0.0,0.05500579
19.0,1998-01-01,-13.636364,0.0,90.11783,0.0,0.0,0,0.0,0.058025837
19.0,1999-01-01,0.0,0.16251892,81.24565,-0.089999974,0.0,1,0.0,-0.007820249
19.0,2000-01-01,3.78788,-0.2876821,90.06339,0.0,-0.09626277,1,0.0,0.034842134
19.0,2001-01-01,2.6515121,2.1897895,156.52481,0.0,0.0,0,0.0,0.052712083
19.0,2002-01-01,4.545456,0.35443377,98.489525,0.0,0.0,0,0.0,0.054132342
19.0,2003-01-01,2.651516,0.14135408,95.100464,-0.14770001,0.0,0,0.0,0.07713652
19.0,2004-01-01,0.0,-0.046519995,98.85509,0.0,0.09624092,0,-1.0,0.055778384
20.0,1994-01-01,6.439392,0.22314358,100.0,-0.106599994,0.0,0,0.0,-0.10764074
20.0,1995-01-01,0.0,0.18232155,116.95179,0.0,0.05858317,0,1.0,-0.003042519
20.0,1996-01-01,2.2727356,0.08004272,97.66138,0.0,0.0,0,0.0,-0.014132023
20.0,1997-01-01,-7.6293945e-06,0.29725146,88.21651,0.0,0.0,0,0.0,0.004700154
20.0,1998-01-01,1.1363678,0.24014127,103.27179,0.0,0.0,0,0.0,-0.015439689
20.0,1999-01-01,4.92424,0.17480278,114.79511,0.0,0.010917187,0,0.0,-0.0072982013
20.0,2000-01-01,1.1363678,0.1323514,107.57405,0.0,0.0,0,0.0,0.005319774
20.0,2001-01-01,1.1363602,0.4720676,104.21707,0.0,0.0,0,0.0,0.014414638
20.0,2002-01-01,2.272728,0.22107959,114.50562,-0.013400003,0.0,0,0.0,0.019660056
20.0,2003-01-01,1.515152,0.4054649,106.59498,0.0,0.03149891,0,0.0,0.017152786
20.0,2004-01-01,1.515152,0.032523394,92.9804,0.0,0.0,0,1.0,0.020798445
21.0,1994-01-01,5.303028,0.09884596,100.0,0.0,0.0,0,0.0,0.0025310516
21.0,1995-01-01,2.651516,0.2113092,115.68784,0.0,-0.04361242,0,0.0,-0.073133945
21.0,1996-01-01,2.272728,0.0,98.89145,0.0,0.0,0,2.0,0.0027840436
21.0,1997-01-01,2.272728,0.06453848,91.46017,0.0,-0.003231287,0,0.0,0.007445842
21.0,1998-01-01,1.1363678,0.10178256,101.021675,0.0,0.0,0,0.0,0.0066661835
21.0,1999-01-01,3.7878723,0.14953184,109.19568,0.0,0.0,0,0.0,0.0062419176
21.0,2000-01-01,1.515152,-0.049832344,104.96534,0.0,0.0,0,0.0,0.00064116716
21.0,2001-01-01,0.0,0.17376924,106.45632,0.0,-0.011516929,0,0.0,0.00014555454
21.0,2002-01-01,1.1363678,-0.13090563,111.89225,0.0,0.0,0,0.0,0.008155644
21.0,2003-01-01,0.0,0.32035923,104.81691,0.0,-0.011482239,0,0.0,0.012418807
21.0,2004-01-01,0.0,-0.13570929,93.78355,0.0,0.0,0,1.0,0.026613355
22.0,1994-01-01,0.0,-0.20067072,100.0,0.0,0.0,1,0.0,0.036580324
22.0,1995-01-01,11.363637,0.34830666,143.90096,0.3314,0.0,1,0.0,0.050872207
22.0,1996-01-01,1.1363621,0.45020103,98.52634,0.0,0.3765091,1,0.0,0.044592023
22.0,1997-01-01,1.136364,-0.19237196,83.21943,0.0,0.0,1,0.0,0.051072955
22.0,1998-01-01,7.954546,0.3321339,101.21265,0.0,0.0,0,0.0,0.036961317
22.0,1999-01-01,3.787878,-0.055880547,119.992935,0.0,0.0,0,0.0,0.03241217
22.0,2000-01-01,3.409092,0.33811307,112.231834,-0.114800006,0.0,0,0.0,0.03154409
22.0,2001-01-01,1.515152,0.37776232,128.60143,0.0,0.057012558,0,0.0,0.016621232
22.0,2002-01-01,0.0,-0.13192749,120.461914,0.0,0.0,0,0.0,0.011865735
22.0,2003-01-01,0.0,0.068137884,108.53959,0.0,0.0,0,0.0,0.030934334
22.0,2004-01-01,3.78788,-0.081041336,90.343254,0.0,0.0,0,0.0,0.04345274
23.0,1995-01-01,3.7878788,0.7339692,100.28147,0.0,0.0,0,0.0,0.04498124
23.0,1996-01-01,0.0,0.48242617,100.25686,0.0,0.0,0,0.0,0.02737093
23.0,1997-01-01,7.575758,1.0436301,100.45422,0.0,0.0,0,1.0,-0.0388602
23.0,1998-01-01,-1.136364,0.06317878,99.63363,0.0,0.0,0,0.0,-0.029447079
23.0,1999-01-01,2.651515,0.028171062,99.30715,0.0,0.0,0,0.0,-0.0062677264
23.0,2000-01-01,-2.651515,-0.12675166,99.84433,0.0,0.0,0,0.0,0.004136026
23.0,2001-01-01,-2.651515,-0.099372625,102.294106,0.0,0.0,0,0.0,0.041355252
23.0,2002-01-01,0.0,-0.10480785,99.86729,0.0,0.0,0,0.0,0.036793947
23.0,2003-01-01,0.0,-0.5071492,99.92461,0.0,0.0,0,0.0,0.033201575
23.0,2004-01-01,0.0,-0.106380224,100.01451,0.0,0.0,0,-1.0,0.05001557
24.0,1994-01-01,3.787879,0.04082203,100.0,0.235,0.0,0,0.0,-0.085582316
24.0,1995-01-01,23.863636,0.07696104,100.48151,0.0,0.24979594,0,0.0,-0.025539577
24.0,1996-01-01,3.78788,0.2595111,98.851395,0.0,0.0,0,0.0,-0.020844221
24.0,1997-01-01,3.4090881,0.18232167,96.909744,0.0,0.0,0,0.0,0.010313511
24.0,1998-01-01,-1.136364,0.19415593,101.11198,0.07900001,0.0,0,0.0,-0.03142786
24.0,1999-01-01,4.924244,0.41197968,102.507614,0.0,-0.10629463,0,0.0,0.04026735
24.0,2000-01-01,1.515152,0.3835826,98.160164,0.0,0.0,0,0.0,0.06321716
24.0,2001-01-01,1.136364,0.17045188,77.482925,0.0,0.0,0,0.0,0.03572154
24.0,2002-01-01,2.6515121,0.014815092,100.59326,-0.16700001,0.0,0,0.0,0.033230424
24.0,2003-01-01,1.136364,0.11778307,97.2989,0.0,-0.41988385,0,0.0,0.050756216
24.0,2004-01-01,1.136364,0.09946084,99.72195,0.0,0.0,0,1.0,0.05094433
25.0,1994-01-01,18.939394,0.35667494,100.0,0.0,0.0,0,0.0,0.041570783
25.0,1995-01-01,9.09091,0.40546513,97.62751,0.0,0.0,0,0.0,0.040602922
25.0,1996-01-01,0.0,-0.40546513,99.99916,0.0,0.0,0,1.0,0.04422021
25.0,1997-01-01,-2.272728,0.18232155,101.09486,0.0,0.0,0,0.0,0.03347397
25.0,1998-01-01,-2.651516,0.31845367,100.16969,0.0,0.0,0,0.0,0.030911446
25.0,1999-01-01,0.0,0.28768218,99.2799,-0.059000015,0.0,0,0.0,0.01103878
25.0,2000-01-01,-1.136364,0.065957904,99.65857,0.0,0.0,0,0.0,0.016380906
25.0,2001-01-01,2.651516,0.26072633,98.89662,0.0,0.0,0,0.0,0.031169891
25.0,2002-01-01,0.0,0.68491673,98.094795,0.0,0.0,0,0.0,0.03609526
25.0,2003-01-01,-1.136364,-0.23144245,99.415436,0.0,0.0,0,0.0,0.03359723
25.0,2004-01-01,0.0,0.1718502,101.27274,0.0,0.0,1,0.0,0.043437958
26.0,2000-01-01,1.136364,0.8266785,105.99602,0.0,0.0,0,0.0,0.032918215
26.0,2001-01-01,2.651516,0.44628716,102.705696,0.0,0.0,0,0.0,0.02259922
26.0,2002-01-01,3.7878761,0.19062042,112.23916,0.0,0.0,0,0.0,0.028822184
26.0,2003-01-01,3.78788,0.24116182,105.518456,0.0,0.0,0,0.0,0.022262096
26.0,2004-01-01,1.515152,0.17253375,93.87816,0.0,0.0,0,1.0,0.04088545
27.0,2000-01-01,0.0,-0.035506725,104.80373,0.0,0.52579427,0,0.0,0.021354139
27.0,2001-01-01,14.015152,0.44869375,108.426346,0.0,-0.28719527,0,0.0,0.023690462
27.0,2002-01-01,16.287876,0.052446604,110.7652,0.0,-0.044352785,0,0.0,0.15320873
27.0,2003-01-01,2.272728,-0.18378258,104.61403,0.0,0.0,0,0.0,0.01372844
27.0,2004-01-01,1.136364,0.36366796,94.29821,0.0,0.0,0,0.0,0.037255883
