demsnmaj,hospdisc,natreg,stafcder,prevgenx,hhosleng,condavg3,orderent,vandavg3,wpnoavg3,lethal,deathrt1,hosp01,femdiz01,mandiz01,peddiz01,acutediz,orphdum,acttime,d
0,75172,12,1043,115.68,3,2,18,0.5,51.25,1,0.0995,1,0,0,0,0,0,37.44658,1
0,0,1,1043,100,0,0,3,0.75,25.25,0,0,0,0,0,0,0,0,84.29589,1
0,134882,9,1043,1.3,3.04,0,2,0,4.25,1,0.15,1,0,1,0,0,0,15.3863,1
0,75172,12,1043,115.68,3,2,19,0.5,51.25,1,0.0995,1,0,0,0,0,0,46.15891,1
0,75172,12,1029,115.68,3,2,23,0.75,52,1,0.0995,1,0,0,0,0,0,50.86028,1
1,93293,1,1163,445,13.3,0.3333333,10,0,12.5,0,0,1,0,0,0,1,0,22.35616,1
1,93293,1,1163,445,13.3,0.3333333,9,0,12.5,0,0,1,0,0,0,1,0,14.00548,1
1,70313,0,1237,0.72,33.9,1,2,0.25,0.75,1,0.0275,1,0,0,1,0,1,17.91781,1
1,599591,47,1550,46.33,3.08,1.666667,7,5.5,94.5,1,0.0203,1,0,0,1,0,0,28.73425,1
0,123767,24,1608,0.22,9.06,15,14,1.5,344.25,1,0.0579,1,0,0,0,1,0,2.334247,1
0,123767,24,1796,0.22,9.06,8.333333,23,3,326.25,1,0.0579,1,0,0,0,1,0,3.024657,0
1,120817,56,1163,0.11,7.96,1.666667,3,8.5,124,1,0.0219,1,0,0,0,0,1,12.88767,1
0,0,13,1029,9.19,0,1,2,0,9.5,1,0,0,0,0,0,0,0,15.87945,1
1,24692,0,1053,20.6,2.3,2,1,2.25,7,0,0,1,0,0,0,1,0,2.860274,1
1,9666,0,1368,54.32,3.6,0,3,0,2.25,0,0,1,0,0,0,1,0,27.48493,1
1,24692,0,1550,20.6,2.3,0.3333333,2,3,7.75,0,0,1,0,0,0,1,0,6.969863,1
0,9666,0,1608,54.32,3.6,0,2,0,0.25,0,0,1,0,0,0,1,0,21.13973,1
0,9666,0,1608,54.32,3.6,0,1,0,0.25,0,0,1,0,0,0,1,0,10.98082,1
0,0,13,1673,9.19,0,0,6,1,21.75,1,0,0,0,0,0,0,0,14.07123,1
0,0,13,1608,9.19,0,0,5,0.25,12.25,1,0,0,0,0,0,0,0,12,1
1,37832,0,1550,0.6,2.7,0,1,0.5,13.5,1,0.0153,1,0,0,0,1,0,11.60548,1
1,0,0,1121,140,0,0.3333333,1,0,3,0,0,0,0,0,0,1,0,31.16712,1
0,0,0,1029,76.11,0,0,2,0.25,3.75,0,0,0,0,0,0,0,1,13.11781,1
1,181077,10,1121,0.1,3.4,0,1,0,0,0,0,1,0,0,0,0,1,5.819178,1
1,0,0,1237,0.04,0,0,4,0,2.25,0,0,0,0,0,0,1,0,12.29589,1
1,0,29,1423,100.85,0,4.333333,4,0,0.5,0,0,0,0,0,0,1,0,13.47945,1
0,93293,1,996,445,13.3,2,23,0,6,0,0,1,0,0,0,1,0,31.06849,1
1,0,13,1121,9.19,0,0,3,0.25,15.5,1,0,0,0,0,0,0,0,14.26849,1
0,9666,0,1608,20.6,3.6,0,1,0,0,0,0,1,0,0,0,1,0,62.63014,0
0,93293,1,1055,445,13.3,1,6,0.5,12.5,0,0,1,0,0,0,1,0,18.93699,1
1,491836,79,1423,81.82,9.28,6.333333,9,13,225.75,1,2.78,1,0,0,0,0,0,13.15069,1
1,75172,12,1414,115.68,3,0.6666667,39,0.5,54.5,1,0.0995,1,0,0,0,0,0,22.09315,1
0,116868,108,1608,14.76,9.53,7.666667,3,13.75,168.5,1,0.0884,1,0,0,0,0,0,40.53699,0
0,0,3,1608,192,0,0.3333333,11,2.5,17.5,1,0.0995,0,0,0,0,0,0,12,1
1,120817,56,1163,0.11,7.96,1.666667,4,8.5,124,1,0.0219,1,0,0,0,0,1,16.76712,1
1,37832,3,1414,0.6,2.7,0.3333333,1,1.25,32.25,1,0.0153,1,0,0,0,0,0,0.5917808,1
0,457587,2,996,32.63,3.25,0,7,0,5,1,0.1652,1,0,0,0,0,0,38.99178,1
0,599591,47,1043,54.23,3.08,4,2,2.5,127,1,0.0203,1,0,0,0,0,0,40.96438,1
0,123767,24,1608,0.22,9.06,11,16,1.25,324,1,0.0579,1,0,0,0,1,0,3.912329,1
0,8530,0,1608,0.76,3.63,0,1,0,2,0,0,1,0,1,0,0,0,12,1
0,75172,12,1673,115.68,3,0.6666667,53,3,45.5,1,0.0995,1,0,0,0,0,0,13.47945,1
0,0,188,1708,128.48,0,4,5,8.25,131,1,0.0027,0,0,0,0,0,0,15.94521,1
1,75172,12,1368,115.68,3,3,35,0.25,50.25,1,0.0995,1,0,0,0,0,0,29.81918,1
1,75172,12,1368,115.68,3,3,34,0.25,50.25,1,0.0995,1,0,0,0,0,0,29.81918,1
1,491836,79,1237,81.82,9.28,8,8,8.5,225.25,1,2.78,1,0,0,0,0,0,26.99178,1
1,457587,2,1121,32.63,3.25,0,13,0,5,1,0.1652,1,0,0,0,0,1,52.04383,1
1,75172,12,1121,115.68,3,3.666667,28,0.25,44.5,1,0.0995,1,0,0,0,0,0,29.98356,1
1,20777,9,1121,0.15,7.1,0,2,0.25,5,1,0.0146,1,1,0,0,0,0,8.087671,1
1,0,3,1163,192,0,3.333333,6,2.25,25.75,1,0.0995,0,0,0,0,0,0,32.97534,1
1,93293,1,1237,445,13.3,0.6666667,12,0,15.5,0,0,1,0,0,0,1,0,20.81096,1
1,120817,56,1237,0.11,7.96,2,6,10,155.5,1,0.0219,1,0,0,0,0,1,21.53425,1
1,123767,24,1368,0.22,9.06,42.66667,5,0.75,309.75,1,0.0579,1,0,0,0,1,0,6.246575,1
1,20777,9,1423,0.15,7.1,0.3333333,4,2,20.25,1,0.0146,1,1,0,0,0,0,5.260274,1
1,93293,1,1423,445,13.3,1.333333,19,0,20,0,0,1,0,0,0,1,0,42.60822,1
1,123767,24,1414,0.22,9.06,24,10,1.75,353.25,1,0.0579,1,0,0,0,1,1,5.852055,1
0,123767,24,1608,0.22,9.06,11,16,1.25,324,1,0.0579,1,0,0,0,1,0,3.517808,0
0,983538,1,1708,15.45,5.19,0.3333333,3,4.5,363.25,1,0.129,1,0,0,0,1,0,11.63836,1
1,93293,1,1119,445,13.3,2,22,0,5,0,0,1,0,0,0,1,0,40.76712,1
0,3976,1,996,0.04,4.6,0,2,0,2.25,1,2e-04,1,0,1,0,0,0,18.93699,1
0,0,18,996,30,0,0,7,0.25,68.25,0,0,0,0,0,0,0,0,45.50137,1
0,457587,2,1029,32.63,3.25,0,8,0,3.5,1,0.1652,1,0,0,0,0,0,35.37534,1
1,3976,1,1053,0.04,4.6,0,3,0,2,1,2e-04,1,0,1,0,0,1,12.69041,1
0,0,188,996,128.48,0,7,2,6.5,119.75,1,0.0027,0,0,0,0,0,0,122.4986,1
1,0,1,1163,100,0,0,4,0.5,22.5,0,0,0,0,0,0,0,0,46.55342,1
1,220647,3,1237,39,3.33,1.333333,1,0,25.5,1,0.0017,1,0,0,0,1,0,18.73973,1
1,3879,29,1368,93.91,1.9,6,5,0,1.75,0,0,1,0,0,0,1,0,67.29863,1
1,0,1,1119,5,0,0,2,0,0.5,0,0,0,0,0,0,0,1,70.78356,1
0,0,188,1043,128.48,0,7,1,7.5,123,1,0.0027,0,0,0,0,0,0,55.29863,1
0,0,0,1055,76.11,0,0,3,0.25,3,0,0,0,0,0,0,0,0,22.19178,0
1,75172,12,1121,115.68,3,3.666667,29,0.25,44.5,1,0.0995,1,0,0,0,0,0,35.63836,1
1,18429,12,1163,20,8.8,0,1,0,1.25,0,0,1,0,0,0,0,0,6.443836,1
0,75172,12,1608,115.68,3,0.3333333,46,0.5,45.75,1,0.0995,1,0,0,0,0,0,11.86849,1
0,491836,79,1062,81.82,9.28,6.666667,6,12.5,134.25,1,2.78,1,0,0,0,0,0,23.73699,1
0,123767,24,1708,0.22,9.06,11,20,2,323,1,0.0579,1,0,0,0,1,0,3.221918,1
1,457587,2,1053,32.63,3.25,0,12,0,5,1,0.1652,1,0,0,0,0,0,33.6,1
1,599591,47,1053,46.33,3.08,2.333333,4,1.75,44.5,1,0.0203,1,0,0,1,0,0,69.99452,1
0,3082,3,1055,448.55,5.53,0.3333333,1,6,186,1,0.0027,1,0,0,0,1,0,82.15891,1
0,3082,3,1055,448.55,5.53,0.3333333,2,6,186,1,0.0027,1,0,0,0,1,0,82.15891,1
0,116868,108,1708,14.76,9.53,5.666667,4,12,200.25,1,0.0884,1,0,0,0,0,0,8.515068,1
0,0,3,1029,192,0,0,9,0.75,9.5,1,0.0995,0,0,0,0,0,1,114.9699,1
1,120834,49,1163,1.09,1.95,2.666667,1,14.75,66.75,1,0.194,1,1,0,0,0,1,21.96164,1
1,4100,4,1414,0.02,28.9,0.6666667,2,6,22.5,1,0.01,1,0,0,0,0,0,8.416438,1
1,4100,4,1414,0.02,28.9,0.6666667,1,6,22.5,1,0.01,1,0,0,0,0,0,8.416438,1
0,599591,47,1796,46.33,3.08,2.666667,9,9,165.5,1,0.0203,1,0,0,1,0,0,2.893151,0
0,93293,1,1043,445,13.3,2,1,0,7,0,0,1,0,0,0,1,0,25.90685,1
0,86252,2,1029,0.16,6.4,2,1,0.5,9.25,1,0.074,1,0,0,0,0,1,51.28767,1
1,181077,10,1163,1.43,3.4,0,2,0,4.25,0,0,1,0,0,0,0,0,14.76164,1
1,599591,47,1368,46.33,3.08,1.333333,5,3,73,1,0.0203,1,0,0,1,0,0,25.54521,1
1,75172,12,1550,115.68,3,0.3333333,44,0.25,48.5,1,0.0995,1,0,0,0,0,0,18.70685,1
0,123767,24,1608,0.22,9.06,15,11,1.5,344.25,1,0.0579,1,0,0,0,1,0,4.372603,1
0,123767,24,1608,0.22,9.06,15,12,1.5,344.25,1,0.0579,1,0,0,0,1,0,4.372603,1
0,93293,1,1608,445,13.3,2.333333,20,0.75,32.75,0,0,1,0,0,0,1,0,11.93425,1
0,123767,24,1708,0.22,9.06,11,21,2,323,1,0.0579,1,0,0,0,1,0,5.786301,1
0,123767,24,1708,0.22,9.06,11,22,2,323,1,0.0579,1,0,0,0,1,0,5.950685,1
0,3082,3,1708,448.55,5.53,0.3333333,3,23.5,238,1,0.0027,1,0,0,0,1,0,8.975343,1
0,123767,24,1796,0.22,9.06,11,23,2.75,324.5,1,0.0579,1,0,0,0,1,0,8.515068,0
0,0,0,1608,0.04,0,0,5,0,1.5,0,0,0,0,0,0,1,0,8.745206,1
0,123767,24,1796,0.22,9.06,11,23,2.75,324.5,1,0.0579,1,0,0,0,1,0,14.07123,0
1,75172,12,1121,115.68,3,3.666667,27,0.25,44.5,1,0.0995,1,0,0,0,0,0,26.69589,1
1,75172,12,1121,115.68,3,3.666667,27,0.25,44.5,1,0.0995,1,0,0,0,0,0,26.69589,1
1,116868,108,1423,14.76,9.53,14,2,11,128.25,1,0.0884,1,0,0,0,0,0,21.99452,0
1,134882,9,1550,1.3,3.04,0.6666667,6,9,56.75,1,0.15,1,0,1,0,0,0,30.47671,1
0,3879,29,1608,93.91,1.9,4.333333,4,0,2.5,0,0,1,0,0,0,1,0,11.83562,1
0,181077,10,1608,1.43,3.4,0,6,0,5.5,0,0,1,0,0,0,0,0,23.4411,1
0,0,0,1608,37.47,0,0,3,0,0,0,0,0,0,0,0,1,0,40.10959,0
0,0,9,1708,15,0,1,9,0,1,1,0.0077,0,0,0,0,0,0,6.049315,1
0,0,0,1708,0.04,0,0,6,0,0,0,0,0,0,0,0,1,0,4.569863,1
0,93293,1,1029,445,13.3,2,3,0,10,0,0,1,0,0,0,1,0,23.24384,1
0,93293,1,1029,445,13.3,2,3,0,10,0,0,1,0,0,0,1,0,23.24384,1
1,134882,9,1053,1.3,3.04,0,4,3,11.25,1,0.15,1,0,1,0,0,0,28.53699,1
1,0,0,1119,11.34,0,0,1,0,0.5,0,0,0,1,0,0,1,0,10.84931,1
0,15549,6,1029,0.04,10.2,2,1,2.75,13.5,1,0.02,1,0,0,0,0,0,26.69589,0
0,3879,29,1062,93.91,1.9,7.333333,1,0,1.25,0,0,1,0,0,0,1,0,46.12603,1
0,0,0,1055,11.34,0,0,3,0,2.5,0,0,0,1,0,0,1,0,19.33151,1
1,395755,0,1053,27.64,4.59,1.666667,3,0,6.25,0,0,1,0,0,0,1,0,36.23014,1
1,85695,2,1163,0.48,10.4,0,1,6.5,24.25,1,0.0443,1,0,0,0,0,0,7.528767,1
1,120817,56,1368,0.11,7.96,1,7,11,154.5,1,0.0219,1,0,0,0,0,0,13.90685,1
1,9666,0,1368,54.32,3.6,0,4,0,2.25,0,0,1,0,0,0,1,0,25.57808,1
1,75172,12,1368,115.68,3,3,36,0.25,50.25,1,0.0995,1,0,0,0,0,0,30.11507,0
0,134882,9,1673,1.3,3.04,0.3333333,7,13.25,122,1,0.15,1,0,1,0,0,0,2.564384,0
0,572789,54,1673,3.81,6.7,3.666667,1,3.75,325.25,1,0.5955,1,0,0,0,1,0,18.01644,0
0,833,3,1708,0.06,10.6,0,1,0.25,0,1,0.0051,1,0,0,0,0,1,8.284931,1
0,0,13,1796,0,0,0,1,0,0,1,0.0027,0,0,0,0,0,1,6.213699,1
0,120817,56,1796,0.11,7.96,0.6666667,9,5.5,192.75,1,0.0219,1,0,0,0,0,0,9.041096,0
0,457587,2,1043,32.63,3.25,0,10,0,3.5,1,0.1652,1,0,0,0,0,0,73.11781,1
1,75172,12,1550,115.68,3,0.3333333,45,0.25,48.5,1,0.0995,1,0,0,0,0,0,18.90411,1
0,120817,56,1029,0.11,7.96,0,2,9.5,120.25,1,0.0219,1,0,0,0,0,1,43.00274,1
0,370015,1,1055,102.73,8.25,0,3,0,8.75,1,0.302,1,0,0,0,1,0,34.06027,1
0,181077,10,996,3.1,3.4,1,1,2,39.75,1,0.1198,1,0,0,0,0,0,46.29041,1
0,75172,12,1043,115.68,3,2,21,0.5,51.25,1,0.0995,1,0,0,0,0,0,51.51781,1
0,75172,12,1062,115.68,3,3.666667,24,0.75,55.5,1,0.0995,1,0,0,0,0,0,52.96438,1
1,457587,2,1121,32.63,3.25,0,11,0,5,1,0.1652,1,0,0,0,0,0,23.80274,1
1,93293,1,1237,445,13.3,0.6666667,13,0,15.5,0,0,1,0,0,0,1,0,16.14247,1
1,93293,1,1414,445,13.3,1.333333,16,0,23,0,0,1,0,0,0,1,1,25.67671,1
1,457587,2,1121,32.63,3.25,0,9,0,5,1,0.1652,1,0,0,0,0,0,10.06027,1
1,0,9,1119,15,0,1,7,0,0.5,1,0.0077,0,0,0,0,0,0,21.63288,1
0,75172,12,1043,115.68,3,2,17,0.5,51.25,1,0.0995,1,0,0,0,0,0,27.28767,1
0,93293,1,1029,445,13.3,2,2,0,10,0,0,1,0,0,0,1,0,18.80548,1
0,93293,1,1062,445,13.3,1.666667,4,0.5,12.75,0,0,1,0,0,0,1,0,21.53425,1
0,75172,12,1055,115.68,3,4.333333,20,0.5,46.75,1,0.0995,1,0,0,0,0,0,20.41644,1
0,0,3,1055,192,0,0.6666667,5,1.75,12.75,1,0.0995,0,0,0,0,0,0,9.534246,1
1,0,3,1053,192,0,1.333333,7,2.25,17.25,1,0.0995,0,0,0,0,0,0,50.26849,1
1,75172,12,1121,115.68,3,3.666667,30,0.25,44.5,1,0.0995,1,0,0,0,0,0,40.93151,1
1,75172,12,1414,115.68,3,0.6666667,37,0.5,54.5,1,0.0995,1,0,0,0,0,0,11.96712,1
1,75172,12,1414,115.68,3,0.6666667,42,0.5,54.5,1,0.0995,1,0,0,0,0,0,16.8,1
1,75172,12,1414,115.68,3,0.6666667,40,0.5,54.5,1,0.0995,1,0,0,0,0,0,16.33973,1
0,123767,24,1608,0.22,9.06,11,15,1.25,324,1,0.0579,1,0,0,0,1,0,1.380822,1
0,0,0,1608,0.01,0,0,1,0,0.5,0,0,0,0,0,0,1,0,7.726027,1
0,599591,47,1673,46.33,3.08,1.333333,8,6.25,110.75,1,0.0203,1,0,0,1,0,0,11.96712,1
0,0,0,1673,37.47,0,0,1,0,0.25,0,0,0,0,0,0,1,0,6.410959,1
0,0,188,1708,128.48,0,4,4,8.25,131,1,0.0027,0,0,0,0,0,0,5.852055,1
1,0,0,1121,0,0,0,1,0,2.75,0,0,0,0,0,0,1,1,27.87945,1
0,75172,12,1608,115.68,3,0.6666667,48,1.5,42.75,1,0.0995,1,0,0,0,0,0,14.9589,1
0,130605,1,1055,1.9,2.04,0,3,0.5,16.25,0,0,1,0,0,0,0,1,31.10137,1
0,120834,49,1608,1.09,1.95,9.666667,6,43.75,201.25,1,0.194,1,1,0,0,0,0,12,1
0,116868,108,1673,14.76,9.53,6.333333,3,14.75,178.5,1,0.0884,1,0,0,0,0,0,36.49315,1
1,143309,3,1550,2,2.9,0,3,0,3.25,1,0.0023,1,0,0,0,1,0,23.83562,1
0,120834,49,1608,1.09,1.95,11,5,37.75,183,1,0.194,1,1,0,0,0,0,28.83288,1
1,93293,1,1119,445,13.3,2,17,0,5,0,0,1,0,0,0,1,0,24.62466,1
1,75172,12,1119,115.68,3,2,7,0,38.25,1,0.0995,1,0,0,0,0,0,20.94246,1
0,599591,47,1043,46.33,3.08,3,3,1.5,46.25,1,0.0203,1,0,0,1,0,0,44.35069,1
0,93293,1,1062,445,13.3,1.666667,5,0.5,12.75,0,0,1,0,0,0,1,0,20.44931,1
1,75172,12,1053,115.68,3,5,32,0.5,49.25,1,0.0995,1,0,0,0,0,0,55.29863,1
1,75172,12,1053,115.68,3,5,25,0.5,49.25,1,0.0995,1,0,0,0,0,0,43.79178,1
1,0,29,1121,100.85,0,5,6,0,0.25,0,0,0,0,0,0,1,0,89.29315,1
1,0,0,1163,11.34,0,0,1,0,0.5,0,0,0,1,0,0,1,0,10.94795,1
1,93293,1,1237,445,13.3,0.6666667,11,0,15.5,0,0,1,0,0,0,1,0,18.70685,1
1,356405,3,1414,128.48,4.5,6.333333,6,0.75,3.25,0,0,1,0,0,0,0,0,33.00822,0
1,0,9,1414,15,0,2,9,0,0,1,0.0077,0,0,0,0,0,0,32.54795,0
0,93293,1,1608,445,13.3,2.333333,23,0.75,32.75,0,0,1,0,0,0,1,0,11.60548,1
0,93293,1,1608,445,13.3,2.333333,22,0.75,32.75,0,0,1,0,0,0,1,0,11.60548,1
0,11344,0,1673,114.17,2.7,0,1,0,0.75,0,0,1,0,1,0,0,0,5.884932,1
0,457587,2,1708,32.63,3.25,0,15,0,13.5,1,0.1652,1,0,0,0,0,0,18.7726,1
0,134882,9,1708,1.3,3.04,0.3333333,7,13.5,148.25,1,0.15,1,0,1,0,0,0,26.9589,0
1,143309,3,1423,2,2.9,0,2,0,4.25,1,0.0023,1,0,0,0,1,0,23.73699,1
1,120834,49,1423,1.09,1.95,10.33333,2,18.75,123,1,0.194,1,1,0,0,0,0,39.48493,1
1,457587,2,1550,32.63,3.25,0,14,0,7.5,1,0.1652,1,0,0,0,0,0,14.00548,1
0,85695,2,1608,0.48,10.4,0.6666667,2,6,31.5,1,0.0443,1,0,0,0,0,0,5.556164,1
0,0,13,1608,9.19,0,0,4,0.25,12.25,1,0,0,0,0,0,0,0,11.67123,1
0,123767,24,1608,0.22,9.06,11,19,1.25,324,1,0.0579,1,0,0,0,1,0,8.646575,1
0,0,0,1673,11.42,0,0,1,0.75,19,0,0,0,0,0,0,0,0,12,1
0,120834,49,1708,1.09,1.95,6.666667,8,47,267.75,1,0.194,1,1,0,0,0,1,9.008219,1
0,120834,49,1708,1.09,1.95,6.666667,9,47,267.75,1,0.194,1,1,0,0,0,1,10.09315,1
0,93293,1,1796,445,13.3,0,26,0.5,27,0,0,1,0,0,0,1,0,6.115068,1
0,0,13,1796,9.19,0,0,4,0.25,24.75,1,0,0,0,0,0,0,0,7.890411,0
1,69136,1,1550,0.04,9.7,0,2,0,2,1,0.0039,1,0,0,0,0,0,20.48219,1
1,901010,1,1414,11.64,5.3,0,1,0.25,198,1,0.183,1,0,0,0,0,0,8.975343,0
0,232845,0,1673,6,5.79,0,1,0,0.75,0,0,1,0,0,0,0,0,15.87945,1
1,143309,3,1368,2,2.9,0,1,0,4.25,1,0.0023,1,0,0,0,1,1,14.92603,1
1,120834,49,1550,1.09,1.95,12.33333,4,38.25,167.75,1,0.194,1,1,0,0,0,0,21.6,1
0,983538,1,1608,15.45,5.19,0.6666667,2,0.25,320.75,1,0.129,1,0,0,0,1,0,11.76986,1
0,9666,0,1608,54.32,3.6,0,5,0,2.5,0,0,1,0,0,0,1,0,35.37534,1
1,0,2,1119,0,0,0,1,1.75,30.5,0,0,0,0,0,0,1,0,12.88767,1
0,0,18,996,30,0,0,5,0.25,68.25,0,0,0,0,0,0,0,0,36.19726,1
0,93293,1,996,445,13.3,2,23,0,6,0,0,1,0,0,0,1,0,218.2027,0
0,0,3,1043,192,0,0,4,0.25,8,1,0.0995,0,0,0,0,0,1,34.09315,1
0,181077,10,1029,0.1,3.4,0,1,0.25,7.5,1,0.0219,1,0,0,0,0,0,19.33151,1
0,0,2,1055,0,0,0,2,0,35.25,0,0,0,0,0,0,1,1,38.86028,1
1,123767,24,1368,0.22,9.06,42.66667,6,0.75,309.75,1,0.0579,1,0,0,0,1,1,7.627397,1
0,123767,24,1608,0.22,9.06,15,13,1.5,344.25,1,0.0579,1,0,0,0,1,0,3.189041,1
0,75172,12,1608,115.68,3,0.6666667,47,1.5,42.75,1,0.0995,1,0,0,0,0,0,15.32055,1
0,56869,1,1608,0.12,6.17,0,1,1.5,12.75,1,0.013,1,0,0,0,0,0,36.9863,0
