demsnmaj,hospdisc,natreg,stafcder,prevgenx,hhosleng,condavg3,orderent,vandavg3,wpnoavg3,lethal,deathrt1,hosp01,femdiz01,mandiz01,peddiz01,acutediz,orphdum,acttime,d
0,120834,49,1673,1.09,1.95,7.333333,7,48.5,222.75,1,0.194,1,1,0,0,0,0,5.950685,1
0,0,1,1673,5,0,0,4,0,1,0,0,0,0,0,0,0,0,11.83562,1
0,457587,2,1708,32.63,3.25,0,16,0,13.5,1,0.1652,1,0,0,0,0,0,20.58082,0
0,75172,12,1055,115.68,3,4.333333,26,0.5,46.75,1,0.0995,1,0,0,0,0,0,55.89041,1
1,75172,12,1368,115.68,3,3,38,0.25,50.25,1,0.0995,1,0,0,0,0,0,35.96712,1
1,0,3,1423,192,0,0.6666667,8,2,28,1,0.0995,0,0,0,0,0,0,21.0411,1
0,0,18,996,30,0,0,6,0.25,68.25,0,0,0,0,0,0,0,0,44.64658,1
1,134882,9,1119,1.3,3.04,0,3,1,3.25,1,0.15,1,0,1,0,0,0,99.97808,1
0,3879,29,1055,93.91,1.9,7.333333,2,0,1,0,0,1,0,0,0,1,0,77.42466,1
0,3879,29,1055,93.91,1.9,7.333333,3,0,1,0,0,1,0,0,0,1,0,96.52602,1
1,457587,2,1368,32.63,3.25,0.6666667,14,0,9,1,0.1652,1,0,0,0,0,0,14.03836,0
1,93293,1,1368,445,13.3,1.333333,17,0,18,0,0,1,0,0,0,1,0,48.03288,1
1,93293,1,1368,445,13.3,1.333333,18,0,18,0,0,1,0,0,0,1,0,48.03288,1
0,37686,1,1708,0.02,7.51,0,1,0,0,1,0,1,0,0,0,0,1,11.96712,1
0,56869,1,1708,0.12,6.17,0,1,2.75,18.75,1,0.013,1,0,0,0,0,1,7.364384,0
0,37686,11,1708,0.06,7.51,0.6666667,1,2.75,85,1,0.0042,1,0,0,0,0,1,5.063014,0
1,75172,12,1423,115.68,3,1.333333,41,0.5,58.5,1,0.0995,1,0,0,0,0,0,28.01096,1
0,0,188,1708,128.48,0,4,3,8.25,131,1,0.0027,0,0,0,0,0,0,6.049315,1
1,181077,10,1423,1.43,3.4,0,5,0,3.75,0,0,1,0,0,0,0,0,35.04657,1
1,181077,10,1423,1.43,3.4,0,3,0,3.75,0,0,1,0,0,0,0,0,20.51507,0
1,0,2,1423,0,0,0,3,0.5,39.5,0,0,0,0,0,0,1,1,6.542466,1
1,181077,10,1423,1.43,3.4,0,4,0,3.75,0,0,1,0,0,0,0,0,22.88219,1
1,0,6,1414,166,0,0,2,0.25,19.25,0,0,0,0,0,0,1,1,11.96712,1
1,75172,12,1414,115.68,3,0.6666667,43,0.5,54.5,1,0.0995,1,0,0,0,0,0,29.49041,1
0,20777,9,1608,0.15,7.1,0,6,3.5,23.5,1,0.0146,1,1,0,0,0,0,5.19452,1
0,0,0,1608,0.01,0,0,2,0,2,0,0,0,0,0,0,1,1,6.016438,1
0,0,6,1608,166,0,0,3,0.75,19.25,0,0,0,0,0,0,1,0,11.30959,1
0,75172,12,1608,115.68,3,0.6666667,51,1.5,42.75,1,0.0995,1,0,0,0,0,0,14.36712,1
0,93293,1,1608,445,13.3,2.333333,16,0.75,32.75,0,0,1,0,0,0,1,0,52.07671,0
1,93293,1,1041,445,13.3,2,19,0,5.5,0,0,1,0,0,0,1,0,25.57808,1
1,0,9,1041,15,0,1,8,0,0.75,1,0.0077,0,0,0,0,0,0,43.6274,1
1,18429,12,1368,20,8.8,0,2,0.25,3.5,0,0,1,0,0,0,0,0,35.21096,1
0,491836,79,1062,81.82,9.28,6.666667,7,12.5,134.25,1,2.78,1,0,0,0,0,0,30.14795,1
0,0,0,1029,11.34,0,0,2,0,1.5,0,0,0,1,0,0,1,0,22.09315,1
0,75172,12,1062,115.68,3,3.666667,22,0.75,55.5,1,0.0995,1,0,0,0,0,0,37.05206,1
0,0,0,1055,0.04,0,0,3,0,0.5,0,0,0,0,0,0,1,1,29.81918,1
1,143309,1,1163,11.35,2.9,2.666667,1,0,0.5,1,0.5955,1,0,0,0,1,0,23.50685,1
0,0,0,1608,0.01,0,0,1,0,0,1,0.0023,0,0,0,0,0,1,13.4137,1
0,370015,1,1062,102.73,8.25,0,2,0,7.75,1,0.302,1,0,0,0,1,0,44.05479,1
0,75172,12,1608,115.68,3,0.6666667,50,1.5,42.75,1,0.0995,1,0,0,0,0,0,12.13151,1
0,0,1,1608,5,0,0,3,0,1.5,0,0,0,0,0,0,0,0,12.26301,1
0,75172,12,1608,115.68,3,0.6666667,49,1.5,42.75,1,0.0995,1,0,0,0,0,0,12.13151,1
0,115577,13,1673,0.15,7.89,0.3333333,5,3.75,9.5,1,0.0068,1,0,0,0,0,1,9.501369,0
1,20777,9,1121,0.15,7.1,0,3,0.25,5,1,0.0146,1,1,0,0,0,1,24.23014,1
1,20777,9,1368,0.15,7.1,0,5,1,14.25,1,0.0146,1,1,0,0,0,0,50.30137,1
1,123767,24,1414,0.22,9.06,24,9,1.75,353.25,1,0.0579,1,0,0,0,1,0,10.48767,1
1,93293,1,1053,445,13.3,0.6666667,8,0.5,14.75,0,0,1,0,0,0,1,0,23.37534,1
1,983538,1,1368,15.45,5.19,1.333333,1,3.25,274,1,0.129,1,0,0,0,1,0,16.33973,1
0,120817,56,1043,0.11,7.96,0,2,10.25,117.75,1,0.0219,1,0,0,0,0,1,89.03014,0
0,93293,1,1055,445,13.3,1,14,0.5,12.5,0,0,1,0,0,0,1,0,62.26849,1
1,75172,12,1163,115.68,3,4,31,0.25,39.5,1,0.0995,1,0,0,0,0,0,33.79726,1
1,116868,108,1237,14.76,9.53,11.66667,1,8.5,137,1,0.0884,1,0,0,0,0,0,39.22192,1
1,120817,56,1368,0.11,7.96,1,5,11,154.5,1,0.0219,1,0,0,0,0,1,7.956164,1
0,93293,1,1608,445,13.3,2.333333,21,0.75,32.75,0,0,1,0,0,0,1,0,14.99178,1
0,0,3,1608,192,0,0.3333333,10,2.5,17.5,1,0.0995,0,0,0,0,0,0,6.016438,1
1,0,6,1041,166,0,0,1,1.75,13,0,0,0,0,0,0,1,0,9.632876,1
0,0,0,1062,34.25,0,0,2,0,22.25,0,0,0,0,0,0,1,0,13.01918,1
0,123767,24,1055,0.22,9.06,15,2,0,113.75,1,0.0579,1,0,0,0,1,1,3.517808,1
1,0,29,1053,100.85,0,7,5,0,0.25,0,0,0,0,0,0,1,1,74.89315,1
1,70313,0,1237,0.72,33.9,1,1,0.25,0.75,1,0.0275,1,0,0,1,0,1,5.490411,1
1,123767,24,1423,0.22,9.06,32,7,1.5,338.75,1,0.0579,1,0,0,0,1,1,7.068493,1
1,133734,2,1414,0.58,6.8,3.333333,1,8.75,136.5,1,0.387,1,0,0,0,0,0,15.87945,1
1,75172,12,1119,115.68,3,2,9,0,38.25,1,0.0995,1,0,0,0,0,0,20.28493,1
1,93293,1,1053,445,13.3,0.6666667,7,0.5,14.75,0,0,1,0,0,0,1,0,18.08219,1
1,143309,3,1423,2,2.9,0,4,0,4.25,1,0.0023,1,0,0,0,1,0,53.2274,1
0,0,1,1673,100,0,0,5,0.75,37,0,0,0,0,0,0,0,0,19.43014,1
0,15549,6,1708,0.04,10.2,1,3,3,16.5,1,0.02,1,0,0,0,0,0,9.008219,1
1,134882,9,1550,1.3,3.04,0.6666667,5,9,56.75,1,0.15,1,0,1,0,0,0,12.65753,1
0,120834,49,1608,1.09,1.95,11,3,37.75,183,1,0.194,1,1,0,0,0,0,8.975343,1
0,599591,47,1608,46.33,3.08,1.333333,6,5.75,95.75,1,0.0203,1,0,0,1,0,0,15.05753,1
0,457587,2,996,32.63,3.25,0,5,0,5,1,0.1652,1,0,0,0,0,0,34.35616,1
0,1810,0,1608,159.48,2.6,0,1,0,0,0,0,1,0,0,0,1,0,7.10137,1
0,123767,24,1608,0.22,9.06,11,17,1.25,324,1,0.0579,1,0,0,0,1,0,2.761644,1
0,123767,24,1608,0.22,9.06,11,18,1.25,324,1,0.0579,1,0,0,0,1,0,2.761644,1
0,75172,12,1673,115.68,3,0.6666667,52,3,45.5,1,0.0995,1,0,0,0,0,0,13.15069,1
0,222306,0,1608,29.6,3.7,0,2,0,0,1,0,1,0,0,0,0,0,12.95342,0
0,0,0,1608,37.47,0,0,2,0,0,0,0,0,0,0,0,1,0,25.51233,1
0,116868,108,1608,14.76,9.53,7.666667,2,13.75,168.5,1,0.0884,1,0,0,0,0,0,7.693151,1
0,17589,2,1673,0.76,5.9,1.666667,1,0,2.25,1,0.0203,1,0,0,0,0,0,11.86849,1
0,0,3,1796,192,0,0,12,4,23,1,0.0995,0,0,0,0,0,0,9.89589,1
0,0,0,1608,0.1,0,0,1,0,0,0,0,0,0,0,0,0,1,14.4,1
0,120834,49,1708,1.09,1.95,6.666667,8,47,267.75,1,0.194,1,1,0,0,0,0,9.961644,0
0,75172,12,1029,115.68,3,2,23,0.75,52,1,0.0995,1,0,0,0,0,0,195.1562,1
0,75172,12,1673,115.68,3,0.6666667,53,3,45.5,1,0.0995,1,0,0,0,0,0,11.53973,0
0,153529,28,1796,13.75,6.4,3.666667,2,0,0.5,1,0.0203,1,0,0,0,0,0,8.054794,0
0,93293,1,1673,445,13.3,0.3333333,25,0.75,30,0,0,1,0,0,0,1,0,24.52603,1
0,93293,1,1673,445,13.3,0.3333333,24,0.75,30,0,0,1,0,0,0,1,0,24.52603,1
0,93293,1,1796,445,13.3,0,26,0.75,25,0,0,1,0,0,0,1,0,5.884932,0
0,123767,24,1608,0.22,9.06,11,17,1.25,324,1,0.0579,1,0,0,0,1,0,26.56438,0
1,0,188,1414,128.48,0,6,3,2,98.75,1,0.0027,0,0,0,0,0,0,15.55068,0
0,0,188,1708,128.48,0,4,3,8.25,131,1,0.0027,0,0,0,0,0,0,19.66027,0
0,85695,2,1055,0.48,10.4,0.3333333,1,3.25,19.25,1,0.0443,1,0,0,0,0,0,57.53425,0
0,123767,24,1796,0.22,9.06,11,23,2.75,324.5,1,0.0579,1,0,0,0,1,0,15.05753,0
0,1810,0,1608,159.48,2.6,0,1,0,0,0,0,1,0,0,0,1,0,25.57808,0
1,11344,0,1423,114.17,2.7,0,1,0,0.25,0,0,1,0,1,0,0,0,15.58356,0
0,75172,12,1608,115.68,3,0.3333333,46,0.5,45.75,1,0.0995,1,0,0,0,0,0,58.61918,0
0,120817,56,1796,0.11,7.96,0.3333333,9,0.75,206.75,1,0.0219,1,0,0,0,0,0,5.095891,0
0,0,29,1796,100.85,0,4.666667,7,0,2.5,0,0,0,0,0,0,1,0,10.22466,0
0,56869,1,1796,0.12,6.17,0,1,3.75,23.25,1,0.013,1,0,0,0,0,1,1.446575,0
0,901010,1,1708,11.64,5.3,0,2,0,262,1,0.183,1,0,0,0,0,0,10.38904,0
0,9666,0,1796,54.32,3.6,0,4,0,1,0,0,1,0,0,0,1,0,6.016438,1
1,599591,47,1237,46.33,3.08,0.6666667,5,2.25,64.5,1,0.0203,1,0,0,1,0,0,121.1178,0
0,120817,56,1796,0.11,7.96,0.6666667,8,5.5,192.75,1,0.0219,1,0,0,0,0,0,7.890411,0
0,37686,11,1796,0.06,7.51,0.3333333,2,2.75,90.5,1,0.0042,1,0,0,0,0,1,11.5726,0
1,0,0,1119,76.11,0,0,1,0.25,10,0,0,0,0,0,0,0,0,37.15068,1
1,75172,12,1119,115.68,3,2,13,0,38.25,1,0.0995,1,0,0,0,0,0,34.81644,1
1,896922,0,1119,3.41,9.9,0,1,0,0.25,0,0,1,0,0,0,0,0,7.29863,0
1,0,0,1041,34.25,0,0,1,0,23.75,0,0,0,0,0,0,1,0,16.27397,1
1,93293,1,1041,445,13.3,2,19,0,5.5,0,0,1,0,0,0,1,0,30.34521,0
1,457587,2,1041,32.63,3.25,0,5,0,4.25,1,0.1652,1,0,0,0,0,0,7.890411,0
1,457587,2,1041,32.63,3.25,0,5,0,4.25,1,0.1652,1,0,0,0,0,0,34.52055,0
0,93293,1,996,445,13.3,2,23,0,6,0,0,1,0,0,0,1,0,218.8932,0
0,93293,1,996,445,13.3,2,23,0,6,0,0,1,0,0,0,1,0,217.3151,0
0,75172,12,996,115.68,3,2,16,0.5,49.5,1,0.0995,1,0,0,0,0,0,215.6384,0
0,93293,1,996,445,13.3,2,23,0,6,0,0,1,0,0,0,1,0,33.40274,0
0,75172,12,996,115.68,3,2,16,0.5,49.5,1,0.0995,1,0,0,0,0,0,100.0767,0
0,75172,12,996,115.68,3,2,16,0.5,49.5,1,0.0995,1,0,0,0,0,0,216.3616,0
0,599591,47,996,46.33,3.08,3,3,1,42.5,1,0.0203,1,0,0,1,0,0,32.51507,0
0,93293,1,996,445,13.3,2,23,0,6,0,0,1,0,0,0,1,0,21.63288,0
0,93293,1,1043,445,13.3,2,1,0,7,0,0,1,0,0,0,1,0,7.660274,0
0,75172,12,1043,115.68,3,2,23,0.5,51.25,1,0.0995,1,0,0,0,0,0,29.29315,0
0,0,29,1043,100.85,0,6,5,0,0,0,0,0,0,0,0,1,0,14.43288,0
0,75172,12,1043,115.68,3,2,17,0.5,51.25,1,0.0995,1,0,0,0,0,0,211.0685,0
0,0,0,1043,0.01,0,0,1,0,0,0,0,0,1,0,0,1,0,24.65753,1
0,75172,12,1043,115.68,3,2,17,0.5,51.25,1,0.0995,1,0,0,0,0,0,86.46575,0
0,104705,3,1043,65,5.1,0,3,0,1.75,1,0.0023,1,0,0,0,0,0,21.20548,0
0,104705,3,1043,65,5.1,0,3,0,1.75,1,0.0023,1,0,0,0,0,0,204,0
0,75172,12,1043,115.68,3,2,22,0.5,51.25,1,0.0995,1,0,0,0,0,0,203.1123,0
0,75172,12,1043,115.68,3,2,17,0.5,51.25,1,0.0995,1,0,0,0,0,0,114.1479,0
0,896922,0,1043,3.41,9.9,0,1,0,1.25,0,0,1,0,0,0,0,0,13.8411,0
0,75172,12,1043,115.68,3,2,17,0.5,51.25,1,0.0995,1,0,0,0,0,0,208.9973,0
0,75172,12,1043,115.68,3,2,17,0.5,51.25,1,0.0995,1,0,0,0,0,0,65.39178,0
0,104705,3,1043,65,5.1,0,3,0,1.75,1,0.0023,1,0,0,0,0,0,2.136986,0
0,457587,2,1043,32.63,3.25,0,8,0,3.5,1,0.1652,1,0,0,0,0,0,202.3562,0
0,0,3,1029,192,0,0,5,0.75,9.5,1,0.0995,0,0,0,0,0,0,195.0575,0
0,75172,12,1029,115.68,3,2,23,0.75,52,1,0.0995,1,0,0,0,0,0,195.2219,0
0,93293,1,1029,445,13.3,2,3,0,10,0,0,1,0,0,0,1,0,82.68493,0
0,75172,12,1029,115.68,3,2,23,0.75,52,1,0.0995,1,0,0,0,0,0,74.36713,0
0,75172,12,1029,115.68,3,2,23,0.75,52,1,0.0995,1,0,0,0,0,0,194.6959,0
0,0,3,1029,192,0,0,5,0.75,9.5,1,0.0995,0,0,0,0,0,0,21.53425,0
0,93293,1,1029,445,13.3,2,3,0,10,0,0,1,0,0,0,1,0,31.10137,0
0,93293,1,1029,445,13.3,2,2,0,10,0,0,1,0,0,0,1,0,191.737,0
0,599591,47,1029,46.33,3.08,3,4,1.75,47.75,1,0.0203,1,0,0,1,0,0,94.61918,0
0,75172,12,1029,115.68,3,2,23,0.75,52,1,0.0995,1,0,0,0,0,0,52.2411,0
0,599591,47,1029,46.33,3.08,3,4,1.75,47.75,1,0.0203,1,0,0,1,0,0,197.0959,0
0,93293,1,1062,445,13.3,1.666667,4,0.5,12.75,0,0,1,0,0,0,1,0,185.0959,0
0,457587,2,1062,32.63,3.25,0,11,0,3.25,1,0.1652,1,0,0,0,0,0,46.48767,0
0,0,29,1062,100.85,0,7.333333,5,0,0.25,0,0,0,0,0,0,1,0,186.3123,0
0,0,29,1062,100.85,0,7.333333,5,0,0.25,0,0,0,0,0,0,1,0,181.6767,0
0,457587,2,1062,32.63,3.25,0,11,0,3.25,1,0.1652,1,0,0,0,0,0,176.7452,0
0,0,29,1062,100.85,0,7.333333,5,0,0.25,0,0,0,0,0,0,1,0,85.21644,0
0,75172,12,1062,115.68,3,3.666667,24,0.75,55.5,1,0.0995,1,0,0,0,0,0,181.1836,0
0,93293,1,1062,445,13.3,1.666667,5,0.5,12.75,0,0,1,0,0,0,1,0,178.6521,0
0,457587,2,1062,32.63,3.25,0,11,0,3.25,1,0.1652,1,0,0,0,0,0,182.3014,0
0,75172,12,1062,115.68,3,3.666667,25,0.75,55.5,1,0.0995,1,0,0,0,0,0,177.5014,0
0,75172,12,1055,115.68,3,4.333333,27,0.5,46.75,1,0.0995,1,0,0,0,0,0,164.4493,0
0,93293,1,1055,445,13.3,1,14,0.5,12.5,0,0,1,0,0,0,1,0,165.6986,0
0,93293,1,1055,445,13.3,1,6,0.5,12.5,0,0,1,0,0,0,1,0,166.389,0
0,93293,1,1055,445,13.3,1,14,0.5,12.5,0,0,1,0,0,0,1,0,165.1068,0
0,0,29,1055,100.85,0,7.333333,5,0,0.25,0,0,0,0,0,0,1,0,166.1589,0
0,75172,12,1055,115.68,3,4.333333,25,0.5,46.75,1,0.0995,1,0,0,0,0,0,172.6356,0
0,457587,2,1055,32.63,3.25,0,11,0,3,1,0.1652,1,0,0,0,0,0,174.7397,0
0,457587,2,1055,32.63,3.25,0,11,0,3,1,0.1652,1,0,0,0,0,0,172.274,0
0,457587,2,1055,32.63,3.25,0,11,0,3,1,0.1652,1,0,0,0,0,0,29.03014,0
0,93293,1,1055,445,13.3,1,6,0.5,12.5,0,0,1,0,0,0,1,0,171.4849,0
0,0,3,1055,192,0,0.6666667,10,1.75,12.75,1,0.0995,0,0,0,0,0,0,165.6986,0
0,75172,12,1055,115.68,3,4.333333,27,0.5,46.75,1,0.0995,1,0,0,0,0,0,43.82466,0
0,93293,1,1055,445,13.3,1,5,0.5,12.5,0,0,1,0,0,0,1,0,174.9699,0
0,457587,2,1055,32.63,3.25,0,11,0,3,1,0.1652,1,0,0,0,0,0,51.05753,0
0,75172,12,1055,115.68,3,4.333333,25,0.5,46.75,1,0.0995,1,0,0,0,0,0,172.3726,0
0,93293,1,1055,445,13.3,1,14,0.5,12.5,0,0,1,0,0,0,1,0,164.2192,0
0,93293,1,1055,445,13.3,1,14,0.5,12.5,0,0,1,0,0,0,1,0,61.57808,0
0,93293,1,1055,445,13.3,1,6,0.5,12.5,0,0,1,0,0,0,1,0,170.3014,0
0,75172,12,1055,115.68,3,4.333333,27,0.5,46.75,1,0.0995,1,0,0,0,0,0,167.1452,0
1,0,29,1053,100.85,0,7,5,0,0.25,0,0,0,0,0,0,1,0,152.2192,0
1,457587,2,1053,32.63,3.25,0,11,0,5,1,0.1652,1,0,0,0,0,0,54.11507,0
1,104705,3,1053,65,5.1,0,5,0.25,4.25,1,0.0023,1,0,0,0,0,0,45.46849,0
1,104705,3,1053,65,5.1,0,5,0.25,4.25,1,0.0023,1,0,0,0,0,0,26.46575,0
1,75172,12,1053,115.68,3,5,27,0.5,49.25,1,0.0995,1,0,0,0,0,0,56.77808,0
1,93293,1,1053,445,13.3,0.6666667,14,0.5,14.75,0,0,1,0,0,0,1,0,0.9534246,0
1,0,29,1121,100.85,0,5,6,0,0.25,0,0,0,0,0,0,1,0,146.137,0
1,93293,1,1121,445,13.3,0.3333333,8,0.5,12.75,0,0,1,0,0,0,1,0,51.55069,0
1,75172,12,1121,115.68,3,3.666667,31,0.25,44.5,1,0.0995,1,0,0,0,0,0,140.7452,0
1,75172,12,1121,115.68,3,3.666667,27,0.25,44.5,1,0.0995,1,0,0,0,0,0,148.2411,0
1,75172,12,1163,115.68,3,4,34,0.25,39.5,1,0.0995,1,0,0,0,0,0,22.94794,0
1,75172,12,1163,115.68,3,4,34,0.25,39.5,1,0.0995,1,0,0,0,0,0,38.46575,0
1,104705,3,1368,65,5.1,0,11,0,7.5,1,0.0023,1,0,0,0,0,0,112.3068,0
1,104705,3,1368,65,5.1,0,11,0,7.5,1,0.0023,1,0,0,0,0,0,107.9342,0
1,93293,1,1368,445,13.3,1.333333,13,0,18,0,0,1,0,0,0,1,0,108.0329,0
1,0,29,1368,100.85,0,6,7,0,0.25,0,0,0,0,0,0,1,0,113.326,0
1,0,29,1368,100.85,0,6,7,0,0.25,0,0,0,0,0,0,1,0,107.3425,0
1,457587,2,1368,32.63,3.25,0.6666667,14,0,9,1,0.1652,1,0,0,0,0,0,15.51781,0
1,599591,47,1368,46.33,3.08,1.333333,5,3,73,1,0.0203,1,0,0,1,0,0,104.4822,0
1,93293,1,1368,445,13.3,1.333333,13,0,18,0,0,1,0,0,0,1,0,21.92877,0
1,0,29,1368,100.85,0,6,7,0,0.25,0,0,0,0,0,0,1,0,110.8274,0
1,75172,12,1368,115.68,3,3,34,0.25,50.25,1,0.0995,1,0,0,0,0,0,114.1808,0
1,75172,12,1368,115.68,3,3,36,0.25,50.25,1,0.0995,1,0,0,0,0,0,110.2356,0
1,75172,12,1368,115.68,3,3,37,0.25,50.25,1,0.0995,1,0,0,0,0,0,104.1205,0
1,93293,1,1368,445,13.3,1.333333,15,0,18,0,0,1,0,0,0,1,0,104.4822,0
1,93293,1,1423,445,13.3,1.333333,18,0,20,0,0,1,0,0,0,1,0,1.972603,0
1,896922,0,1423,3.41,9.9,0,1,0,0.5,0,0,1,0,0,0,0,0,100.6356,0
1,75172,12,1423,115.68,3,1.333333,39,0.5,58.5,1,0.0995,1,0,0,0,0,0,92.51507,0
1,93293,1,1423,445,13.3,1.333333,18,0,20,0,0,1,0,0,0,1,0,101.6219,0
1,93293,1,1423,445,13.3,1.333333,18,0,20,0,0,1,0,0,0,1,0,98.10411,0
0,70313,0,1608,0.72,33.9,0,3,0.25,2.25,1,0.0275,1,0,0,1,0,1,40.53699,1
0,70313,0,1673,0.72,33.9,0,4,0,2.5,1,0.0275,1,0,0,1,0,1,30.24657,1
