,country,ccode,y_us,y_ch,y_fr,y_ge,y_in,y_ja,y_ru,y_uk,y_ownc,x,x_imputed,z_ratio,z_death,usaid,usaid_imputed,gdppc,wbgi,fhscore,africa,trade_i,trade_e,unvote_key
76,Burkina Faso,439.0,1.8535792,1.7544806,0.8648462,1.5280185,1.1190768,1.794408,0.9046265,1.5368698,0.0646455,,-7.0631347,0.6931472,-6.73941,0.36823466,0.36823466,6.944436,-0.34984323,3.3333333,1.0,-14.739966714605222,-10.520231129644209,0.238345
77,Liberia,450.0,1.9625049,1.130316,0.41156596,0.5683207,-0.05177373,0.2704918,-0.047501843,0.8144809,0.44475526,-1.2547475,-1.2547475,1.0818051,-6.6370535,3.3184953,3.3184953,5.782969,-1.1966772,4.0,1.0,-9.765823704520098,-9.501041742638167,0.312471
78,Sierra Leone,451.0,2.4355066,1.538685,1.4578307,2.0543694,1.1467029,1.4893031,1.1698734,2.5656688,0.567087,-3.9320674,-3.9320674,0.11778303,-8.359377,1.5881261,1.5881261,6.4836426,-0.8680611,3.0,1.0,-11.815794145467072,-9.906140273506246,0.240676
79,Ghana,452.0,2.354199,1.4679148,1.479207,2.0843134,0.6190147,1.5692933,0.768252,2.282663,1.0256866,-1.113303,-1.113303,0.7997569,-7.0821776,1.1873909,1.1873909,7.0863223,-0.03471164,2.0,1.0,-9.220976054258088,-7.875079798208314,0.236014
80,Togo,461.0,1.8768674,1.7498983,0.43271628,2.5776885,1.396224,2.043686,1.239785,1.9965539,-1.4089631,,-5.9155145,1.2739651,-6.709699,-0.74089074,-0.74089074,6.6578054,-1.0769253,5.0,1.0,-13.742017892630829,-10.444639226616955,0.16573434
81,Cameroon,471.0,1.6194099,1.7205284,0.4589916,1.3655485,0.37661213,1.8828148,0.37772936,1.342177,-0.33395782,,-7.9033923,1.704748,-6.2573647,-0.18429656,-0.18429656,7.5815353,-0.8626106,6.0,1.0,-8.4696727522672,-9.009480755375318,0.372261
82,Nigeria,475.0,2.1171687,1.519786,1.7519277,1.8078055,0.9833047,1.8135638,1.071549,2.0630727,-0.5832672,-0.20372713,-0.20372713,1.3350011,-6.4126873,0.86725557,0.86725557,7.462577,-1.1508528,4.0,1.0,-4.5048144414916536,-6.261724506116626,0.232168
83,Central African Republic,482.0,3.1015677,1.72803,0.21370436,0.98472136,0.63590914,1.310971,-0.067601606,1.550912,1.1788545,,-5.921213,2.154665,-5.5486827,1.4091834,1.4091834,6.4940705,-1.3519801,4.3333335,1.0,-12.030318867876423,-10.208921188853173,0.28531468
84,Chad,483.0,1.3640069,0.8833338,-0.04698624,0.5255818,0.17761584,0.59414846,0.032698873,0.68782157,-0.8902785,,-8.001011,1.1709329,-6.845208,1.5765816,1.5765816,7.1515775,-1.3304721,5.3333335,1.0,-7.572233902866444,-9.886437597348758,0.450233
85,Congo Brazzaville,484.0,2.1479456,1.6086767,1.2591956,2.0992343,0.8787849,1.5285355,0.9137714,2.1972246,-0.7245376,-4.06964,-4.06964,1.3350011,-6.295652,1.1232852,1.1232852,8.155803,-1.1326466,4.6666665,1.0,-7.446499572544544,-9.425163040662268,0.22400934
86,Congo Kinshasa,490.0,2.260298,1.3343992,1.4383254,0.85651636,-0.04333686,0.8443876,0.11645754,1.2866317,0.16891937,-2.0936582,-2.0936582,,,1.889805,1.889805,5.579579,-1.6581191,6.0,1.0,-9.378418978747645,-9.408126348937438,0.36561766
87,Uganda,500.0,2.0738275,0.6071637,0.94666463,1.2630692,0.46857873,1.0381107,0.54381555,2.069829,0.24080953,1.5580639,1.5580639,1.9351381,-5.6718764,2.069846,2.069846,6.8182287,-0.62158304,4.0,1.0,-10.947398718598363,-9.461671131608913,0.38275033
88,Kenya,501.0,2.0364306,0.8689659,0.9743404,1.1857648,0.09720579,1.23037,0.2537625,1.7678194,-0.23483491,1.4178125,1.4178125,2.104134,-5.5669727,1.6811208,1.6811208,7.2011514,-0.6477995,3.0,1.0,-8.336314437531657,-7.759684741176589,0.32447568
89,Tanzania,510.0,1.65511,0.96615773,1.0133877,1.2581975,0.4154835,1.0490617,0.6384467,1.6434542,0.6383343,0.97215956,0.97215956,1.9387417,-5.732671,0.9561512,0.9561512,6.9687495,-0.41184613,3.0,1.0,-11.014675890166652,-8.761263079906254,0.30396268
90,Burundi,516.0,1.7179124,1.4536275,1.3480138,1.1805018,1.1254369,1.3860157,0.9770288,1.4711103,0.69163793,-2.3475533,-2.3475533,1.5789787,-6.135662,1.8795046,1.8795046,5.84308,-1.2352057,5.0,1.0,-13.019664314426487,-10.756131629146772,0.38275033
91,Rwanda,517.0,2.638809,1.3831491,0.38014477,1.4899522,1.4267385,1.4257326,1.1074642,1.8566294,2.8402922,1.8288121,1.8288121,1.2878543,-6.3247175,1.9227971,1.9227971,6.67962,-0.7890105,5.0,1.0,-12.512209268872441,-11.194680526456455,0.400233
92,Djibouti,522.0,1.3010101,0.48561856,1.2368547,0.60260034,-0.19799538,0.75067705,0.0131903505,0.58176917,0.67914677,-1.1910635,-1.1910635,1.0560527,-6.887125,2.29181,2.29181,7.5271955,-0.72420496,5.0,1.0,-14.200824880831327,-9.834310139330453,0.17855467
93,Ethiopia,530.0,,,,,,,,,-0.54084665,0.128595,0.128595,,,1.8346522,1.8346522,6.4492207,-0.98988456,5.0,1.0,-10.482937240547296,-7.897881057783443,0.27016333
94,Angola,540.0,1.210368,1.6706452,1.5895523,1.566767,1.0671471,1.4014884,1.1801314,1.1763153,0.6469419,-1.0624994,-1.0624994,0.64185387,-7.2562532,1.5147618,1.5147618,8.194137,-1.2090992,5.0,1.0,-5.784045805275641,-7.223809187810154,0.30116534
95,Mozambique,541.0,1.3827256,1.6195285,1.8995492,1.7194506,1.1905171,1.8494331,1.3776138,1.5722795,0.34522998,1.1228951,1.1228951,2.2695453,-6.0078897,1.5820206,1.5820206,6.50574,-0.35697946,4.0,1.0,-11.823595031078092,-9.273871199233009,0.22319366
96,Zambia,551.0,1.3475225,0.74011064,0.9126728,0.9520234,0.31145895,0.8995537,0.47693467,1.3729578,-0.11189908,2.3263454,2.3263454,2.6567569,-5.064675,2.8725019,2.8725019,7.0310097,-0.4882008,4.0,1.0,-10.720349045976992,-10.337173224588842,0.210373
97,Zimbabwe,552.0,1.3971759,0.34371123,1.0785543,0.99488443,0.55499107,0.9400979,0.46233934,1.2840575,-0.845578,0.46071303,0.46071303,3.1365805,-4.5279217,1.0636458,1.0636458,,-1.5017285,6.0,1.0,-9.867757569927313,-9.754065020461546,0.14906767
98,Malawi,553.0,1.7888798,0.3576633,0.2614557,0.69077367,-0.3700662,0.43976688,-0.5795078,1.6090138,1.3837862,0.1171039,0.1171039,2.6100698,-5.189113,1.4634826,1.4634826,6.459776,-0.40796533,3.6666667,1.0,-10.095789071480715,-10.535327049970613,0.43123534
99,South Africa,560.0,1.8219477,0.18939768,0.91047764,1.1714275,-0.16745615,0.2928205,0.19764225,1.5344019,0.26208264,1.1760807,1.1760807,2.8463619,-5.2473536,0.9102313,0.9102313,9.060812,0.4199545,2.0,1.0,-5.51030357883679,-5.546348106558829,0.13776234
100,Namibia,565.0,-0.11424407,0.049216162,0.35899776,0.49609625,0.010040551,0.12983663,0.15936776,0.21388856,1.6512976,3.0262368,3.0262368,2.7788193,-5.3641305,2.9366395,2.9366395,8.606794,0.24580073,2.3333333,1.0,-8.72716519037295,-9.299537025786677,0.210373
101,Botswana,571.0,1.922966,0.42087802,0.67997706,0.80042255,0.43125656,0.5320889,0.31165025,1.5034015,1.5325408,3.1677418,3.1677418,3.2648048,-4.7480683,2.4893436,2.4893436,9.384554,0.7209645,2.0,1.0,-9.90324143681269,-9.61919613547307,0.259324
102,Madagascar,580.0,1.7882962,0.6977803,1.4762791,1.3165793,0.04944453,1.3110371,0.37450022,1.2560455,1.2531501,-2.05409,-2.05409,-1.609438,-9.377914,1.23782,1.23782,6.783836,-0.176256,3.0,1.0,-8.048766720344108,-10.036793759111665,0.36305332
103,Comoros,581.0,0.8642301,1.6414655,1.1936669,0.44727004,0.26285297,0.9746842,0.17375554,0.40346196,-0.53232664,,-9.32447,-2.87348,-9.526799,-3.7590046,-3.7590046,7.017717,-0.94789475,4.0,1.0,-11.394575309272719,-13.905136757550144,0.25734267
104,Morocco,600.0,-0.63227165,0.21216175,0.8488239,0.63198847,-0.5540091,0.48566824,0.18667659,0.014695667,0.43691468,-5.720309,-5.720309,-2.3025851,-10.640557,-0.37351894,-0.37351894,8.175214,-0.3178622,4.0,0.0,-7.956028021145351,-7.399297161905118,0.22703966
105,Algeria,615.0,-0.55264586,-0.40311635,-0.033638094,-0.028902538,-0.85484016,-0.047266465,-0.38665092,-0.19684266,0.102754414,,-6.0829864,-2.9637148,-11.532299,-2.86339,-2.86339,8.868655,-0.69048566,5.0,0.0,-5.290049082175325,-6.731589291543301,0.12727267
106,Tunisia,616.0,-1.2976213,-0.30554605,0.16284381,-0.06649951,-0.611561,-0.21973696,-0.35602832,-1.4125388,3.0373533,,-6.975943,-3.1360054,-12.073383,-3.7134225,-3.7134225,8.776805,-0.036664378,5.0,0.0,-8.857527925288087,-8.056911153261447,0.16573434
107,Sudan,625.0,-0.5484946,1.054614,0.057378907,0.13922764,0.68302524,1.0720782,0.11686436,-0.36703777,0.28340414,-2.2189083,-2.2189083,-0.9162907,-9.144034,2.7816281,2.7816281,7.394692,-1.4771703,7.0,1.0,-12.88847611781072,-9.385754346208847,0.14009333
108,Iran,630.0,-1.2509106,0.87282836,0.06909149,0.067384936,-0.17541048,1.1143901,0.16493605,-1.089773,0.32822382,,-6.06573,-2.0794415,-10.267731,-2.952918,-2.952918,9.143896,-0.89056236,6.0,0.0,-9.179412289593893,-9.166460422169461,0.124942
109,Turkey,640.0,-1.0433898,-0.60863763,-1.1069762,-0.540522,-1.1818128,-0.2900125,-0.9314298,-1.0820554,0.44269893,,-8.0262575,-3.455702,-13.504397,-2.122759,-2.122759,9.300202,-0.06423143,3.0,0.0,-5.696705432301504,-5.490144829995985,0.37972
110,Iraq,645.0,-0.5773186,0.5468472,0.507386,0.24928457,0.30774814,0.9449052,0.20919576,-0.22412862,-0.052019354,,-8.81117,,,5.4059258,5.4059258,7.9939966,-1.8243316,5.3333335,0.0,-5.151161954953126,-6.857716562042858,0.30862466
111,Egypt,651.0,-1.2497004,0.1054173,-0.69269323,-0.9064193,-0.95769125,0.010570478,-1.1248375,-1.4564725,,-4.662398,-4.662398,-3.803804,-13.007629,2.1115746,2.1115746,8.37875,-0.53825396,5.0,0.0,-7.042961993178975,-5.578559047960967,0.124942
112,Syria,652.0,-1.8807186,0.31702688,-0.083774954,-0.008346784,0.013577873,0.3893873,0.24955183,-1.399806,,,-6.3996687,,,-4.0361266,-4.0361266,8.287176,-0.92526984,6.6666665,0.0,-8.610280923933926,-8.249325474847543,0.10827533
113,Lebanon,660.0,-0.85764647,0.21240704,0.2834764,0.014006221,-0.7989637,0.16393766,-0.07143347,-0.7793067,-0.48075202,,-7.0677805,-1.609438,-9.456039,2.5610383,2.5610383,9.161061,-0.5172045,4.3333335,0.0,-9.889283192269138,-7.470661906577028,0.19137533
114,Jordan,663.0,-1.5574807,-0.9461159,-0.8210488,-1.062512,-1.3952186,-0.8673376,-1.3373121,-1.4831885,1.5185326,-4.001716,-4.001716,,,4.1876483,4.1876483,8.374406,0.026680445,4.0,0.0,-7.203525965928514,-7.297797617060601,0.23986033
115,Israel,666.0,0.74568456,-0.66149586,-0.28088617,-0.09476249,-0.77793515,-0.35494694,-0.8220162,0.29443777,-0.71854746,,-6.175919,-2.0794415,-11.885446,,-6.175919,10.062356,0.5450478,2.3333333,0.0,-4.615124647294665,-4.486925309164615,0.88508165
116,Saudi Arabia,670.0,-1.505433,0.4521389,-0.6109673,-0.82467073,0.06159979,0.53573537,-0.6303235,-1.7405922,,,-10.100266,,,-4.061528,-4.061528,9.955785,-0.4025729,6.3333335,0.0,-4.25026385078625,-5.0432467685110085,0.187529
117,Yemen,679.0,-1.3341742,-0.15625447,-0.9257759,-0.8471722,-0.79785687,-0.15365994,-0.93181676,-1.2556851,0.28080675,,-5.994669,,,0.37745047,0.37745047,7.685928,-1.0431019,5.0,0.0,-10.081892673042312,-8.162331526643346,0.5
118,Serbia,688.0,-1.6891458,0.6662438,-0.62584245,-0.7740879,-0.02749727,0.33916143,1.0215539,-1.4475158,,-4.871373,-4.871373,-2.7116373,-10.245473,3.1330042,3.1330042,9.049995,-0.3115165,2.0,0.0,,,
119,Kuwait,690.0,0.045473237,0.5545785,0.065635994,-0.63087827,-0.25466567,0.52206165,-0.6076476,-0.18088372,,,-6.997866,,,,-6.997866,10.667857,0.2883654,4.6666665,0.0,-6.120081684981533,-6.284518447803849,0.19137533
120,Bahrain,692.0,-0.2155469,0.74502844,0.5454066,0.68317306,-0.03208829,1.2466636,0.2590556,0.7214246,,,-6.303492,,,,-6.303492,10.2360735,0.22832759,5.0,0.0,-8.196059446413571,-7.900800411870685,0.17855467
121,Qatar,694.0,-1.45823,0.30188107,-0.44354698,-0.86333185,0.021686116,0.29387563,-0.74568975,-1.5826218,4.1521482,,-8.820121,-2.9173367,-9.49108,,-8.820121,11.100629,0.4458314,5.0,0.0,-8.241215063193167,-7.490530383307563,0.16573434
122,United Arab Emirates,696.0,-0.799408,0.8935548,-0.12528145,-0.11824499,0.36748353,1.321959,-0.2374856,-0.7327658,,,-7.4656944,,,,-7.4656944,10.803107,0.50748223,5.6666665,0.0,-7.15940309554186,-5.296653123726379,0.206527
123,Afghanistan,700.0,-0.054060556,-0.018276747,-0.5518146,-0.27822006,0.42961025,0.17090675,-1.1749859,-0.936788,0.12740259,,-7.097249,,,3.772895,3.772895,6.7199903,-1.5739012,5.3333335,0.0,-10.986425229035994,-8.59727265837851,0.267832
124,Turkmenistan,701.0,1.4904306,0.30353516,0.5690865,0.15562508,0.45536792,0.3721746,3.1874225,0.70809084,,-4.18116,-4.18116,,,0.39420107,0.39420107,8.44732,-1.4669452,7.0,0.0,-9.809585113509538,-8.041180305335777,0.22167833
125,Tajikistan,702.0,-0.037133154,1.6132694,0.7193395,0.88842446,0.63124543,0.73386365,3.7950974,0.07944859,,-2.7476122,-2.7476122,-2.3025851,-10.23991,2.0365193,2.0365193,7.3014326,-1.1382867,5.0,0.0,-12.213897124037143,-9.59044968594983,0.19755267
126,Kyrgyzstan,703.0,-0.08314604,0.47347623,0.47944397,0.75014746,-0.2808008,0.7749545,3.4311416,0.13990076,0.067777365,-2.5003476,-2.5003476,-2.5029202,-11.513858,2.137987,2.137987,7.4655414,-0.9475002,4.3333335,0.0,-11.82066253990646,-10.22814742337568,0.24603733
127,Uzbekistan,704.0,0.316542,0.7621059,0.6048238,0.8027894,0.074067585,0.92713356,2.9986916,0.29663712,,-2.5921056,-2.5921056,-2.970236,-13.230232,0.6228838,0.6228838,7.603245,-1.4591622,6.6666665,0.0,-9.723206807468875,-8.353063928322342,0.19160867
128,Kazakhstan,705.0,0.088987865,1.1555892,1.6055006,1.6105815,0.9656088,1.4714513,3.132355,0.836603,1.4639114,-3.635523,-3.635523,-3.0025852,-12.593289,1.2534957,1.2534957,9.075985,-0.6405895,5.0,0.0,-7.911522195319057,-7.8409478517800055,0.238345
129,China,710.0,,,,,,,,,,-5.2511234,-5.2511234,,,-4.122637,-4.122637,8.330423,-0.5462311,6.0,0.0,-2.0112281860077577,-3.1638958022527,0.12342667
130,Mongolia,712.0,1.9359592,0.8543424,1.5617712,1.8076547,1.0352036,2.362922,1.7638283,1.5243863,-0.37121972,,-6.022794,-3.3362067,-10.613222,2.0055604,2.0055604,7.8737507,-0.09447352,2.0,0.0,-8.72372160597411,-10.273763571346032,0.44638667
131,Taiwan,713.0,0.49750385,-0.041152593,0.51939803,1.1711482,-0.010576347,1.0595341,0.124878585,0.73930776,-0.21346994,,-8.328467,,,,-8.328467,,0.86787003,1.0,0.0,-3.74828153388054,-3.6307516758208376,
132,South Korea,732.0,0.27350056,0.19034646,0.90033287,1.3605613,0.038411357,-0.21433035,-0.23321454,0.88490397,-0.8732307,,-6.5642114,-2.9972916,-11.8622265,,-6.5642114,10.037854,0.6912713,2.0,0.0,-3.46053101541024,-3.4375063565231905,0.58776236
133,Japan,740.0,0.13031743,-1.102317,0.5516976,1.3547332,0.653282,,-0.75684905,0.6419238,-1.0439128,,-6.432773,-3.4292471,-14.334289,,-6.432773,10.319794,1.1972576,2.0,0.0,-2.426781715077033,-2.7217945557026417,
134,India,750.0,0.47197324,-0.30766866,-0.48733187,-0.32723993,,0.15222688,0.2810313,-0.13351864,1.124105,-3.7537713,-3.7537713,-0.9162907,-8.8443365,-1.8398126,-1.8398126,7.7466145,-0.21775301,3.0,0.0,-4.547339799996208,-4.892937845324687,0.180886
135,Pakistan,770.0,-1.3650688,1.2013737,-1.270451,-1.3210452,-1.3675325,0.1438726,-1.4305283,-1.4634632,-0.31298116,-5.8611503,-5.8611503,-2.4165502,-11.402168,0.6542917,0.6542917,7.6859813,-0.9535522,5.0,0.0,-6.236768079946557,-6.183915994703939,0.14009333
136,Bangladesh,771.0,-0.23184167,0.195067,-0.34766224,-0.39452723,0.48424882,0.3355965,-0.41499412,-0.41449374,1.272172,-5.264285,-5.264285,-2.7427144,-14.760801,-0.58551097,-0.58551097,6.977733,-1.0586227,4.0,0.0,-6.458782115544492,-7.943041542534612,0.14009333
137,Burma,775.0,,,,,,,,,,-3.3479688,-3.3479688,-0.2876821,-7.928233,-1.9477521,-1.9477521,,-1.701591,7.0,0.0,,-11.150955817375,0.136247
138,Sri Lanka,780.0,0.8080325,1.7982886,0.4514613,0.44597197,1.55796,2.1213348,0.6744921,0.68199545,1.699647,,-6.0212116,-3.4767728,-13.030959,0.9120116,0.9120116,8.178889,-0.32910728,3.3333333,0.0,-6.621543917801269,-8.510281292137206,0.180886
139,Nepal,790.0,0.7980099,1.5385369,0.30603734,0.42162699,0.9554712,1.4863594,0.1834974,0.5827722,0.054982062,-2.404281,-2.404281,-0.6931472,-8.720657,0.60044694,0.60044694,6.8648987,-0.9776547,4.6666665,0.0,-9.240767177214504,-10.39087788345671,0.24883467
140,Thailand,800.0,0.81532055,1.0470037,0.8464755,0.73475206,0.059938796,1.4355863,0.13381328,1.0614237,0.21207479,-2.1671886,-2.1671886,0.5007753,-7.1756372,-1.1040938,-1.1040938,8.820212,-0.092270054,3.3333333,0.0,-4.426114709588922,-4.851405381575418,0.344289
141,Cambodia,811.0,3.1458197,1.0302577,1.2179679,0.94324327,-0.09866638,2.5367622,0.26090613,1.9971232,1.5274757,0.2509455,0.2509455,0.11778303,-7.4857273,1.4719186,1.4719186,7.276893,-0.8626857,5.0,0.0,-6.889063165193327,-9.5340327377931,0.22552434
142,Laos,812.0,-0.16260631,1.9133548,0.3929693,0.1861547,0.35620245,1.7172074,0.47470182,0.19787829,3.0417948,-1.7718881,-1.7718881,-2.8371131,-12.205945,-0.15415129,-0.15415129,7.414564,-1.1147552,6.0,0.0,-12.989760381546526,-11.839223918593378,0.17855467
143,Vietnam,816.0,0.55999106,1.2046137,1.4477105,1.1872965,1.5837106,2.0505946,2.3583202,1.0618174,3.05763,-1.1491334,-1.1491334,-1.2909842,-9.447627,-0.7874141,-0.7874141,7.6709266,-0.514849,5.3333335,0.0,-5.629782268137855,-6.602488062217136,0.10827533
144,Malaysia,820.0,-0.3109611,0.93784183,0.4117812,0.19235395,-0.22658141,1.2874457,-0.20910235,0.13283208,1.527408,,-9.255242,-0.9162907,-8.681038,-2.658728,-2.658728,9.374153,0.4382329,4.0,0.0,-3.9542442992740217,-4.318577994639568,0.14009333
145,Singapore,830.0,1.9233608,1.7991232,1.4342139,1.4590614,0.97948426,1.8645155,0.72014284,1.6116205,3.0856066,,-6.421399,-2.3025851,-10.717388,,-6.421399,10.708108,1.474753,4.0,0.0,-4.560374325540805,-3.7376217276907058,0.210373
146,Philippines,840.0,1.0442125,0.18477881,0.340941,0.24867207,-0.35833693,0.6865452,-0.15295991,0.32591888,0.45755798,-5.557204,-5.557204,-2.6958344,-14.116827,0.32016107,0.32016107,7.9833336,-0.4891729,3.0,0.0,-5.080520637430258,-4.744500842682024,0.267832
147,Indonesia,850.0,0.2546174,0.92682964,0.866587,0.90569246,0.54404634,1.895437,0.058743063,0.66292787,0.9151275,-3.1912796,-3.1912796,-3.019588,-13.349327,-0.08888109,-0.08888109,8.076216,-0.71448773,3.3333333,0.0,-4.912297186599344,-5.720152301752605,0.112121336
148,Australia,900.0,-0.19781077,-0.4728363,0.94373846,1.8421459,0.10428557,1.0531871,-0.23346566,1.0086628,0.4761837,,-6.932628,-2.3025851,-12.486427,,-6.932628,10.395385,1.6127934,1.0,0.0,-5.271865153112568,-4.066713691287656,0.766317
149,New Zealand,920.0,-0.37539202,-0.75418305,0.7884479,1.6040796,0.15189643,0.9947341,-0.48782745,0.6026666,0.36455777,,-7.19955,-2.3025851,-11.172094,,-7.19955,10.130976,1.7644628,1.0,0.0,-6.204957014826723,-5.97381956769671,0.632401
150,Palestinian Territories,999.1,-1.7326609,-0.47459105,-0.7759485,-0.9275825,-1.0296364,-0.5030343,-0.6875109,-1.6765229,-0.068862185,,-7.482387,,,4.1188483,4.1188483,,,,0.0,-14.259280993835445,-14.930605635365422,
151,Hong Kong,999.2,-0.07946346,0.67487,0.21971649,0.8479604,-0.108788185,0.24974526,-0.18523826,0.3945401,0.78797877,,-6.206898,,,,-6.206898,,,,0.0,-5.061308914817694,-3.941019894909788,
152,Somaliland region,999.3,0.87646383,-0.12147712,-0.068888314,0.21402358,-0.66741407,-0.1786476,-0.601196,1.131677,0.2737732,,-6.87087,,,,-6.87087,,,,0.0,,,
